unicode	汉字	频率	旧频率	拼音
\u542c	听	31156	31156	ting
\u5c11	少	31117	31117	shao
\u5143	元	30885	30885	yuan
\u5361	卡	30770	30837	ka/qia
\u9760	靠	30617	30617	kao
\u5e2e	帮	30125	30125	bang
\u7b97	算	29938	29938	suan
\u8005	者	29752	29752	zhe
\u5fd9	忙	29641	29641	mang
\u8d77	起	29383	29383	qi
\u5404	各	29019	29019	ge
\u5206	分	28803	28803	fen
\u5b66	学	28803	28803	xue
\u603b	总	28517	28517	zong
\u5219	则	28270	28270	ze
\u6c34	水	27608	27608	shui
\u6539	改	27437	27437	gai
\u54af	咯	27403	28930	ge/ka/lo/luo
\u5509	唉	27403	27403	ai
\u5f20	张	27300	27300	zhang
\u4e09	三	26761	26761	san
\u8fde	连	26463	26463	lian
\u89c1	见	26266	26517	jian/xian
\u653e	放	26038	26038	fang
\u8f66	车	26005	26011	che/ju
\u4e07	万	25941	25947	mo/wan
\u5168	全	25876	25876	quan
\u6309	按	25812	25812	an
\u533a	区	25334	25358	ou/qu
\u65e9	早	25302	25302	zao
\u62c9	拉	25270	25270	la
\u5076	偶	24864	24864	ou
\u672c	本	24833	24833	ben
\u9875	页	24679	24679	ye
\u8fdb	进	24648	24648	jin
\u6027	性	24434	24434	xing
\u5f04	弄	24374	25301	long/nong
\u7b2c	第	24313	24313	di
\u5b8c	完	24072	24072	wan
\u540c	同	24012	24012	tong
\u7cfb	系	23892	23965	ji/xi
\u82b1	花	23744	23744	hua
\u6015	怕	22787	22787	pa
\u5973	女	22702	22702	nv
\u8bb2	讲	22589	22589	jiang
\u6740	杀	22449	22449	sha
\u7ec4	组	22421	22421	zu
\u5e72	干	22116	22116	gan
\u9519	错	22088	22088	cuo
\u4e9b	些	21951	21951	xie
\u4f4f	住	21924	21924	zhu
\u8dd1	跑	21815	21815	pao
\u540d	名	21788	21788	ming
\u6b21	次	21278	21278	ci
\u7761	睡	21225	21225	shui
\u7f51	网	21198	21198	wang
\u88c5	装	20962	20962	zhuang
\u633a	挺	20754	20754	ting
\u6389	掉	20677	20677	diao
\u738b	王	20625	20625	wang
\u56fe	图	20548	20548	tu
\u6b63	正	20523	20523	zheng
\u5916	外	20471	20471	wai
\u8def	路	20471	20471	lu
\u4e8c	二	20319	20319	er
\u751f	生	20268	20268	sheng
\u5934	头	20243	20243	tou
\u5e94	应	20243	20243	ying
\u5fc3	心	20168	20168	xin
\u7ea6	约	20000	31468	yao/yue
\u56e0	因	19893	19893	yin
\u5b50	子	19769	19769	zi
\u5f3a	强	19428	19434	jiang/qiang
\u4f5c	作	19307	19307	zuo
\u7c7b	类	19235	19235	lei
\u9001	送	19211	19211	song
\u6bcf	每	19115	19115	mei
\u4e66	书	19044	19044	shu
\u4e56	乖	18529	18529	guai
\u6cd5	法	18506	18506	fa
\u62cd	拍	18299	18299	pai
\u8868	表	18141	18141	biao
\u5e02	市	18050	18050	shi
\u6492	撒	18028	18028	sa
\u81f3	至	17782	17782	zhi
\u63a5	接	17760	17760	jie
\u7f8e	美	17650	17650	mei
\u672a	未	17562	17562	wei
\u529e	办	17518	17518	ban
\u975e	非	17475	17475	fei
\u54ce	哎	17453	17453	ai
\u7ea7	级	17388	17388	ji
\u5373	即	17366	17366	ji
\u6b64	此	17237	17237	ci
\u7248	版	17087	17087	ban
\u526f	副	17045	17045	fu
\u5dee	差	16939	17267	cha/chai/ci
\u4ffa	俺	16897	16897	an
\u6536	收	16855	16855	shou
\u7537	男	16792	16792	
\u5b57	字	16750	16750	zi
\u80a1	股	16667	16667	gu
\u51e0	几	16625	16625	ji
\u8003	考	16604	16604	kao
\u4e24	两	16584	16584	liang
\u8f6c	转	16584	16584	zhuan
\u5757	块	16563	16563	kuai
\u7ebf	线	16338	16338	xian
\u5468	周	16297	16297	zhou
\u624b	手	16196	16196	shou
\u9053	道	16155	16155	dao
\u9ec4	黄	16135	16135	huang
\u4fbf	便	16095	16596	bian/pian
\u7c73	米	15995	15995	mi
\u804a	聊	15975	15975	liao
\u732a	猪	15935	15935	zhu
\u53d6	取	15876	15876	qu
\u54c7	哇	15817	15817	wa
\u4f4e	低	15738	15738	di
\u96be	难	15640	15640	
\u54e6	哦	15582	20917	e/o
\u513f	儿	15408	15408	er
\u5305	包	15389	15389	bao
\u53d7	受	15389	15389	shou
\u963f	阿	15389	15406	a/e
\u559d	喝	15293	15293	he
\u767d	白	15236	15236	bai
\u91d1	金	15142	15142	jin
\u7ba1	管	15029	15029	guan
\u8fd1	近	15029	15029	jin
\u56db	四	15010	15010	si
\u591f	够	14732	14732	gou
\u4ea4	交	14714	14714	jiao
\u95e8	门	14714	14714	men
\u6837	样	14677	14677	yang
\u674e	李	14513	14513	li
\u7b11	笑	14513	14513	xiao
\u4f20	传	14495	14802	chuan/zhuan
\u81ea	自	14405	14405	zi
\u6162	慢	14352	14352	man
\u8fb9	边	14352	14352	bian
\u5237	刷	14316	14316	shua
