unicode	汉字	频率	旧频率	拼音
\u7c2a	簪	132	132	zan
\u8235	舵	132	132	duo
\u9685	隅	132	132	yu
\u4e3f	丿	131	137	pie/yu
\u53ed	叭	131	131	ba
\u5ffb	忻	131	131	xin
\u701b	瀛	131	131	ying
\u7410	琐	131	131	suo
\u82d3	苓	131	131	ling
\u6775	杵	130	130	chu
\u67a2	枢	130	130	shu
\u6805	栅	130	143	shan/zha
\u68d8	棘	130	130	ji
\u7729	眩	130	130	xuan
\u787c	硼	130	130	peng
\u7b60	筠	130	205	jun/yun
\u900d	逍	130	130	xiao
\u95dc	關	130		
\u9cf3	鳳	130		
\u51db	凛	129	129	lin
\u53a5	厥	129	129	jue
\u59e3	姣	129	129	jiao
\u7ee5	绥	129	129	sui
\u7f8c	羌	129	129	qiang
\u8bde	诞	129	129	dan
\u8fab	辫	129	129	bian
\u919b	醛	129	129	quan
\u4e10	丐	128	128	gai
\u5a3c	娼	128	128	chang
\u6084	悄	128	128	qiao
\u6bd7	毗	128	128	pi
\u73c0	珀	128	128	po
\u7b20	笠	128	128	li
\u8132	脲	128	128	niao
\u901e	逞	128	128	cheng
\u9593	間	128		
\u7099	炙	127	127	zhi
\u7663	癣	127	127	xuan
\u7cdc	糜	127	133	mei/mi
\u8200	舀	127	127	yao
\u89ba	覺	127		
\u9502	锂	127	127	li
\u9549	镉	127	127	ge
\u51f0	凰	126	120	huang
\u5494	咔	126	126	ka
\u5520	唠	126	126	lao
\u5703	圃	126	126	pu
\u7430	琰	126	126	yan
\u8a72	該	126		
\u51c4	凄	125	125	qi
\u5319	匙	125	162	chi/shi
\u5567	啧	125	125	ze
\u59d7	姗	125	125	shan
\u6534	攴	125	125	po
\u68a7	梧	125	125	wu
\u6bef	毯	125	125	tan
\u6cbc	沼	125	125	zhao
\u7405	琅	125	125	lang
\u9885	颅	125	125	lu
\u9893	颓	125	125	tui
\u552c	唬	124	132	hu/xia
\u759d	疝	124	124	shan
\u75b9	疹	124	124	zhen
\u768b	皋	124	124	gao
\u7a3c	稼	124	124	jia
\u832b	茫	124	124	mang
\u8403	萃	124	124	cui
\u864f	虏	124	124	lu
\u87a8	螨	124	124	man
\u9032	進	124		
\u9a8a	骊	124	124	li
\u5eb6	庶	123	123	shu
\u6002	怂	123	123	song
\u6485	撅	123	123	jue
\u6657	晗	123	123	han
\u94b4	钴	123	123	gu
\u5b5c	孜	122	122	zi
\u5f08	弈	122	122	yi
\u67da	柚	122	122	you
\u6be1	毡	122	122	zhan
\u7168	煨	122	122	wei
\u853d	蔽	122	122	bi
\u96b6	隶	122	122	li
\u9a87	骇	122	122	hai
\u5055	偕	121	121	xie
\u6043	恃	121	121	shi
\u65fb	旻	121	121	min
\u7efc	综	121	242	zeng/zong
\u7fe1	翡	121	121	fei
\u9a9e	骞	121	121	qian
\u9e43	鹃	121	121	juan
\u5169	兩	120		
\u54cc	哌	120	120	pai
\u5784	垄	120	120	long
\u5b51	孑	120	120	jie
\u5e1b	帛	120	120	bo
\u6a1f	樟	120	120	zhang
\u708a	炊	120	120	chui
\u8bc3	诃	120	120	he
\u99a5	馥	120	120	fu
\u5482	咂	119	119	za
\u5c07	將	119		
\u630e	挎	119	119	kua
\u6fee	濮	119	119	pu
\u7280	犀	119	119	xi
\u73d1	珑	119	119	long
\u74ee	瓮	119	119	weng
\u78d0	磐	119	119	pan
\u7f61	罡	119	119	gang
\u82db	苛	119	119	ke
\u8398	莘	119	147	shen/xin
\u970f	霏	119	119	fei
\u9a81	骁	119	119	xiao
\u592d	夭	118	118	yao
\u6525	攥	118	118	zuan
\u67d1	柑	118	118	gan
\u6ed4	滔	118	118	tao
\u70ac	炬	118	118	ju
\u71b3	熳	118	118	man
\u8c82	貂	118	118	diao
\u95fa	闺	118	118	gui
\u5431	吱	117	165	zhi/zi
\u56e4	囤	117	143	dun/tun
\u60e9	惩	117	117	cheng
\u6d19	洙	117	117	zhu
\u706c	灬	117	134	biao/huo
\u72f8	狸	117	117	li
\u7737	眷	117	117	juan
\u7afa	竺	117	117	zhu
\u8206	舆	117	117	yu
\u8c17	谗	117	117	chan
\u90b8	邸	117	117	di
\u5b09	嬉	116	116	xi
\u6400	搀	116	116	chan
\u693f	椿	116	116	chun
\u6cfe	泾	116	116	jing
\u7618	瘘	116	116	lou
\u81b3	膳	116	116	shan
\u89de	觞	116	116	shang
\u8f67	轧	116	233	ga/ya/zha
\u9afb	髻	116	116	ji
\u5556	啖	115	115	dan
\u6c85	沅	115	115	yuan
\u77f6	矶	115	115	ji
\u79fd	秽	115	115	hui
\u6206	戆	114	119	gang/zhuang
\u65cc	旌	114	114	jing
\u66a7	暧	114	114	ai
\u6ee2	滢	114	114	ying
\u6fe0	濠	114	114	hao
\u71ee	燮	114	114	xie
\u88c6	裆	114	114	dang
\u8eaf	躯	114	114	qu
\u9523	锣	114	114	luo
\u953b	锻	114	114	duan
\u555c	啜	113	123	chuai/chuo
\u5f3c	弼	113	113	bi
\u606a	恪	113	113	ke
\u705e	灞	113	113	ba
\u7566	畦	113	113	qi
\u75f9	痹	113	113	bi
\u80ef	胯	113	113	kua
\u9f8d	龍	113		
\u5088	傈	112	112	li
\u53df	叟	112	112	sou
\u6479	摹	112	112	mo
\u7678	癸	112	112	gui
\u8309	茉	112	112	mo
\u8ad6	論	112		
\u919a	醚	112	112	mi
\u953a	锺	112	112	zhong
\u5225	別	111		
\u533e	匾	111	111	bian
\u5420	吠	111	111	fei
\u6c30	氰	111	111	qing
\u815a	腚	111	111	ding
\u84df	蓟	111	111	ji
\u9163	酣	111	111	han
\u589f	墟	110	110	xu
\u59a4	妤	110	110	yu
\u5ad4	嫔	110	110	pin
\u5b53	孓	110	110	jue
\u6292	抒	110	110	shu
\u7483	璃	110	110	li
\u75c2	痂	110	110	jia
\u7d66	給	110		
\u7f9a	羚	110	110	ling
\u807d	聽	110		
\u8198	膘	110	110	biao
\u8c5a	豚	110	110	tun
\u94e0	铠	110	110	kai
\u951b	锛	110	110	ben
\u96bd	隽	110	166	juan/jun
\u4e93	亓	109	109	qi
\u5631	嘱	109	109	zhu
\u5ce6	峦	109	109	luan
\u659f	斟	109	109	zhen
\u6e44	湄	109	109	mei
\u6f5e	潞	109	109	lu
\u828b	芋	109	109	yu
\u86f9	蛹	109	109	yong
\u88e1	裡	109		
\u8e59	蹙	109	109	cu
\u9515	锕	109	109	a
\u956d	镭	109	109	lei
\u9a85	骅	109	109	hua
\u9ad4	體	109		
\u9ca4	鲤	109	109	li
\u6771	東	108		
\u67ff	柿	108	108	shi
\u6f8e	澎	108	108	peng
\u7166	煦	108	108	xu
\u9877	顷	108	108	qing
\u98a8	風	108		
\u542e	吮	107	107	shun
\u579b	垛	107	107	duo
\u66f3	曳	107	107	ye
\u6fc2	濂	107	107	lian
\u717d	煽	107	107	shan
\u86df	蛟	107	107	jiao
\u8737	蜷	107	107	quan
\u914c	酌	107	107	zhuo
\u5401	吁	106	178	xu/yu
\u5b99	宙	106	106	zhou
\u63e9	揩	106	106	kai
\u6e24	渤	106	106	bo
\u7063	灣	106		
\u749f	璟	106	106	jing
\u829c	芜	106	106	wu
\u898b	見	106		
\u987d	顽	106	106	wan
\u9a90	骐	106	106	qi
\u55f3	嗳	105	105	ai
\u564c	噌	105	105	ceng
\u620c	戌	105	105	xu
\u64c2	擂	105	105	lei
\u67ec	柬	105	105	jian
\u69cc	槌	105	105	chui
\u6c55	汕	105	105	shan
\u6d94	涔	105	105	cen
\u7409	琉	105	105	liu
\u7cd7	糗	105	105	qiu
\u7f0e	缎	105	105	duan
\u82d8	苘	105	105	qing
\u5d34	崴	104	111	wai/wei
\u5f99	徙	104	104	xi
\u62d7	拗	104	173	ao/niu
\u6538	攸	104	104	you
\u67e0	柠	104	104	ning
\u8270	艰	104	104	jian
\u8537	蔷	104	104	qiang
\u9e22	鸢	104	104	yuan
\u4f63	佣	103	103	yong
\u655d	敝	103	103	bi
\u6666	晦	103	103	hui
\u73c8	珈	103	103	jia
\u7830	砰	103	103	peng
\u7f28	缨	103	103	ying
\u94db	铛	103	109	cheng/dang
\u55d1	嗑	102	102	ke
\u55e1	嗡	102	102	weng
\u56ff	囿	102	102	you
\u57d4	埔	102	110	bu/pu
\u604d	恍	102	102	huang
\u78ec	磬	102	102	qing
\u7b77	筷	102	102	kuai
\u7cb1	粱	102	102	liang
\u8936	褶	102	102	zhe
\u6cef	泯	101	101	min
\u6f33	漳	101	101	zhang
\u7980	禀	101	101	bing
\u7eda	绚	101	101	xuan
\u7fb2	羲	101	101	xi
\u8046	聆	101	101	ling
\u8c15	谕	101	101	yu
\u4f84	侄	100	100	zhi
\u4fa6	侦	100	100	zhen
\u5ce8	峨	100	100	e
\u5ed3	廓	100	100	kuo
\u6600	昀	100	100	yun
\u6aac	檬	100	100	meng
\u6c82	沂	100	100	yi
\u6d9f	涟	100	100	lian
\u7422	琢	100	121	zhuo/zuo
\u8517	蔗	100	100	zhe
\u8bbc	讼	100	100	song
\u5340	區	99		
\u5471	呱	99	198	gu/gua
\u55d3	嗓	99	99	sang
\u63b3	掳	99	99	lu
\u66d9	曙	99	99	shu
\u8426	萦	99	99	ying
\u853a	蔺	99	99	lin
\u932f	錯	99		
\u94e8	铨	99	99	quan
\u9e4a	鹊	99	99	que
\u5477	呷	98	98	xia
\u6c93	沓	98	128	da/ta
\u71b9	熹	98	98	xi
\u729f	犟	98	98	jiang
\u752c	甬	98	98	yong
\u8be1	诡	98	98	gui
\u8e2e	踮	98	98	dian
\u8f84	辄	98	98	zhe
\u4f6f	佯	97	97	yang
\u5021	倡	97	97	chang
\u542d	吭	97	133	hang/keng
\u5f11	弑	97	97	shi
\u5fc4	忄	97	97	xin
\u620d	戍	97	97	shu
\u6482	撂	97	97	liao
\u6a02	樂	97		
\u6ca6	沦	97	97	lun
\u793b	礻	97	97	shi
\u7db2	網	97		
\u7f54	罔	97	97	wang
\u8543	蕃	97	97	fan
\u8b93	讓	97		
\u90f4	郴	97	97	chen
\u53ae	厮	96	96	si
\u5480	咀	96	117	ju/zui
\u58d1	壑	96	96	he
\u58e4	壤	96	96	rang
\u6a71	橱	96	96	chu
\u7078	灸	96	96	jiu
\u70f7	烷	96	96	wan
\u72d9	狙	96	96	ju
\u8d66	赦	96	96	she
\u5b34	嬴	95	95	ying
\u6a61	橡	95	95	xiang
\u7cf8	糸	95	95	mi
\u868c	蚌	95	131	bang/beng
\u8f03	較	95		
\u9078	選	95		
\u5250	剐	94	94	gua
\u548e	咎	94	94	jiu
\u5834	場	94		
\u5dfd	巽	94	94	xun
\u61c8	懈	94	94	xie
\u66f8	書	94		
\u8393	莓	94	94	mei
\u83e1	菡	94	94	han
\u9122	鄢	94	94	yan
\u951d	锝	94	94	de
\u57a6	垦	93	93	ken
\u59ca	姊	93	93	zi
\u5b6c	孬	93	93	nao
\u5e87	庇	93	93	bi
\u5f9e	從	93		
\u6109	愉	93	93	yu
\u6b61	歡	93		
\u6fe1	濡	93	93	ru
\u70fd	烽	93	93	feng
\u7519	甙	93	93	dai
\u7b90	箐	93	93	qing
\u7bf1	篱	93	93	li
\u8bb3	讳	93	93	hui
\u9ab6	骶	93	93	di
\u5495	咕	92	92	gu
\u5530	唰	92	92	shua
\u5773	坳	92	92	ao
\u61cb	懋	92	92	mao
\u6578	數	92		
\u6ca3	沣	92	92	feng
\u70c1	烁	92	92	shuo
\u73de	珞	92	92	luo
\u7751	睑	92	92	jian
\u807f	聿	92	92	yu
\u87d2	蟒	92	92	mang
\u91dc	釜	92	92	fu
\u949c	钜	92	92	ju
\u98d2	飒	92	92	sa
\u5167	內	91		
\u5588	喈	91	91	jie
\u6062	恢	91	91	hui
\u655e	敞	91	91	chang
\u69ad	榭	91	91	xie
\u7119	焙	91	91	bei
\u7261	牡	91	91	mu
\u728a	犊	91	91	du
\u7bf7	篷	91	91	peng
\u7c27	簧	91	91	huang
\u819b	膛	91	91	tang
\u81a8	膨	91	91	peng
\u8fe9	迩	91	91	er
\u5464	呤	90	90	ling
\u675e	杞	90	90	qi
\u680e	栎	90	111	li/yue
\u68e3	棣	90	90	di
\u8a8d	認	90		
\u94d0	铐	90	90	kao
\u95f0	闰	90	90	run
\u53b6	厶	89	89	si
\u5777	坷	89	89	ke
\u5e7e	幾	89		
\u6168	慨	89	89	kai
\u6248	扈	89	89	hu
\u6b79	歹	89	89	dai
\u70e9	烩	89	89	hui
\u7823	砣	89	89	tuo
\u7962	祢	89	89	mi
\u8424	萤	89	89	ying
\u50da	僚	88	88	liao
\u63ac	掬	88	88	ju
\u6c35	氵	88	108	san/shui
\u828a	芊	88	88	qian
\u8dcb	跋	88	88	ba
\u94c9	铉	88	88	xuan
\u9698	隘	88	88	ai
\u9cc3	鳃	88	88	sai
\u9ccc	鳌	88	88	ao
\u5636	嘶	87	87	si
\u5f50	彐	87	87	xue
\u5f61	彡	87	109	qu/san/shan/xian
\u60eb	惫	87	87	bei
\u6840	桀	87	87	jie
\u7578	畸	87	87	ji
\u7bc6	篆	87	87	zhuan
\u90e2	郢	87	87	ying
\u9119	鄙	87	87	bi
\u98a6	颦	87	87	pin
\u9a6d	驭	87	87	yu
\u9a6f	驯	87	87	xun
\u53e8	叨	86	91	dao/tao
\u5669	噩	86	86	e
\u5b95	宕	86	86	dang
\u5fb5	徵	86	86	zhi
\u69bb	榻	86	86	ta
\u6c7e	汾	86	86	fen
\u70c3	烃	86	86	ting
\u8882	袂	86	86	mei
\u94a1	钡	86	86	bei
\u961a	阚	86	92	han/kan
\u964b	陋	86	86	lou
\u96bc	隼	86	86	sun
\u998a	馊	86	86	sou
\u4e42	乂	85	85	yi
\u4f22	伢	85	85	ya
\u52a2	劢	85	85	mai
\u54fa	哺	85	85	bu
\u5ba6	宦	85	85	huan
\u637a	捺	85	85	na
\u673d	朽	85	85	xiu
\u6e25	渥	85	85	wo
\u7470	瑰	85	85	gui
\u8cb7	買	85		
\u94a5	钥	85	93	yao/yue
\u96e3	難	85		
\u982d	頭	85		
\u9988	馈	85	85	kui
\u9f2c	鼬	85	85	you
\u50fb	僻	84	84	pi
\u5195	冕	84	84	mian
\u520e	刎	84	84	wen
\u5608	嘈	84	84	cao
\u56a3	嚣	84	84	xiao
\u5f73	彳	84	84	chi
\u795a	祚	84	84	zuo
\u8018	耘	84	84	yun
\u822b	舫	84	84	fang
\u9050	遐	84	84	xia
\u9170	酰	84	84	xian
\u4f0e	伎	83	83	ji
\u4f5a	佚	83	83	yi
\u4fea	俪	83	83	li
\u55b3	喳	83	89	cha/zha
\u55d6	嗖	83	83	sou
\u5b80	宀	83	83	bao
\u5c59	屙	83	83	e
\u620b	戋	83	83	jian
\u6555	敕	83	83	chi
\u7455	瑕	83	83	xia
\u7bd3	篓	83	83	lou
\u8a31	許	83		
\u8bf2	诲	83	83	hui
\u9cc4	鳄	83	83	e
\u504e	偎	82	82	wei
\u525f	剟	82	82	duo
\u631a	挚	82	82	zhi
\u634d	捍	82	82	han
\u6c5b	汛	82	82	xun
\u71ce	燎	82	82	liao
\u7b75	筵	82	82	yan
\u8a18	記	82		
\u8e48	蹈	82	82	dao
\u5406	吆	81	81	yao
\u551b	唛	81	81	mai
\u5e54	幔	81	81	man
\u5e61	幡	81	81	fan
\u63d6	揖	81	81	yi
\u6684	暄	81	81	xuan
\u79e9	秩	81	81	zhi
\u7d71	統	81		
\u7f01	缁	81	81	zi
\u7fe6	翦	81	81	jian
\u8655	處	81		
\u8715	蜕	81	81	tui
\u8bbd	讽	81	81	feng
\u8c1f	谟	81	81	mo
\u8d43	赃	81	81	zang
\u988c	颌	81	89	ge/he
\u4e8d	亍	80	80	chu
\u4fa9	侩	80	80	kuai
\u4fd1	俑	80	80	yong
\u5421	吡	80	80	bi
\u6396	掖	80	80	ye
\u6636	昶	80	80	chang
\u69db	槛	80	110	jian/kan
\u6c8f	沏	80	80	qi
\u7e82	纂	80	80	zuan
\u865f	號	80		
\u8e47	蹇	80	80	jian
\u973e	霾	80	80	mai
\u5182	冂	79	79	jiong
\u5c22	尢	79	79	you
\u5cab	岫	79	79	xiu
\u6de6	淦	79	79	gan
\u6ea5	溥	79	79	pu
\u79c6	秆	79	79	gan
\u7b95	箕	79	79	ji
\u7ba9	箩	79	79	luo
\u7efd	绽	79	79	zhan
\u8859	衙	79	79	ya
\u975b	靛	79	79	dian
\u988d	颍	79	79	ying
\u9963	饣	79	79	shi
\u9cb2	鲲	79	79	kun
\u9f8b	龋	79	79	qu
\u4e0c	丌	78	78	ji
\u4e26	並	78		
\u5043	偃	78	78	yan
\u53f1	叱	78	78	chi
\u5527	唧	78	78	ji
\u5654	噔	78	78	deng
\u56d7	囗	78	131	guo/wei
\u5e2b	師	78		
\u6dec	淬	78	78	cui
\u8238	舸	78	78	ge
\u8a08	計	78		
\u8ab0	誰	78		
\u8c0c	谌	78	78	chen
\u972d	霭	78	78	ai
\u4e28	丨	77	144	e/gun/shu
\u55dd	嗝	77	77	ge
\u59e5	姥	77	82	lao/mu
\u6020	怠	77	77	dai
\u6371	捱	77	77	ai
\u6670	晰	77	77	xi
\u6dde	淞	77	77	song
\u869d	蚝	77	77	hao
\u8862	衢	77	77	qu
\u8ba5	讥	77	77	ji
\u55b1	喱	76	76	li
\u592c	夬	76	76	guai
\u5a7f	婿	76	76	xu
\u64c0	擀	76	76	gan
\u6800	栀	76	76	zhi
\u6cb1	沱	76	76	tuo
\u6d8e	涎	76	76	xian
\u7e9f	纟	76	76	si
\u7ec5	绅	76	76	shen
\u8ff8	迸	76	76	beng
\u9ee8	黨	76		
\u6249	扉	75	75	fei
\u6535	攵	75	75	fan
\u6c26	氦	75	75	hai
\u6dc0	淀	75	75	dian
\u6f15	漕	75	75	cao
\u7d50	結	75		
\u836a	荪	75	75	sun
\u846d	葭	75	75	jia
\u8885	袅	75	75	niao
\u88f1	裱	75	75	biao
\u8c25	谥	75	75	shi
\u94ba	钺	75	75	yue
\u997a	饺	75	75	jiao
\u5b75	孵	74	74	fu
\u5c79	屹	74	74	yi
\u5c99	岙	74	74	ao
\u5e42	幂	74	74	mi
\u622e	戮	74	74	lu
\u6726	朦	74	74	meng
\u6984	榄	74	74	lan
\u6b96	殖	74	87	shi/zhi
\u6d35	洵	74	74	xun
\u757f	畿	74	74	ji
\u77fe	矾	74	74	fan
\u78b4	碴	74	74	cha
\u78fa	磺	74	74	huang
\u7a3d	稽	74	80	ji/qi
\u8c0d	谍	74	74	die
\u9023	連	74		
\u4ea0	亠	73	73	wen
\u59a8	妨	73	73	fang
\u6073	恳	73	73	ken
\u63b4	掴	73	79	guai/guo
\u6f8d	澍	73	73	shu
\u76bf	皿	73	73	min
\u7f9f	羟	73	73	qiang
\u7fbf	羿	73	73	yi
\u8f49	轉	73		
\u5202	刂	72	101	dao/li
\u54bf	咿	72	72	yi
\u5831	報	72		
\u5b62	孢	72	72	bao
\u5c15	尕	72	72	ga
\u6016	怖	72	72	bu
\u62bb	抻	72	72	chen
\u6fef	濯	72	72	zhuo
\u76f9	盹	72	72	dun
\u77dc	矜	72	85	guan/jin/qin
\u8151	腑	72	72	fu
\u81fc	臼	72	72	jiu
\u8237	舷	72	72	xian
\u835f	荟	72	72	hui
\u8418	萘	72	72	nai
\u843c	萼	72	72	e
\u8654	虔	72	72	qian
\u8a2d	設	72		
\u8b8a	變	72		
\u9035	逵	72	72	kui
\u9511	锑	72	72	ti
\u98e8	飨	72	72	xiang
\u9b03	鬃	72	72	zong
\u4f91	侑	71	71	you
\u5550	啐	71	71	cui
\u5599	喙	71	71	hui
\u5914	夔	71	71	kui
\u64b8	撸	71	71	lu
\u6773	杳	71	71	yao
\u6c23	氣	71		
\u6f7c	潼	71	71	tong
\u714a	煊	71	71	xuan
\u75b1	疱	71	71	pao
\u7b4f	筏	71	71	fa
\u7ee1	绡	71	71	xiao
\u8a66	試	71		
\u90e6	郦	71	71	li
\u9673	陳	71		
\u9977	饷	71	71	xiang
\u5048	偈	70	90	ji/jie
\u5561	啡	70	70	fei
\u6963	楣	70	70	mei
\u6c70	汰	70	70	tai
\u7be1	篡	70	70	cuan
\u8236	舶	70	70	bo
\u835a	荚	70	70	jia
\u8902	褂	70	70	gua
\u8be3	诣	70	70	yi
\u8beb	诫	70	70	jie
\u9550	镐	70	101	gao/hao
\u5ae1	嫡	69	69	di
\u5b93	宓	69	69	mi
\u60ed	惭	69	69	can
\u6b86	殆	69	69	dai
\u712f	焯	69	127	chao/zhuo
\u73e9	珩	69	69	heng
\u75e2	痢	69	69	li
\u7a79	穹	69	69	qiong
\u8bb9	讹	69	69	e
\u8c12	谒	69	69	ye
\u8d58	赘	69	69	zhui
\u989a	颚	69	69	e
\u541d	吝	68	68	lin
\u6230	戰	68		
\u624c	扌	68	84	shou/ti
\u67b7	枷	68	68	jia
\u6954	楔	68	68	xie
\u6c13	氓	68	74	mang/meng
\u75e7	痧	68	68	sha
\u7736	眶	68	68	kuang
\u7957	祗	68	68	zhi
\u87fe	蟾	68	68	chan
\u8bec	诬	68	68	wu
\u94c6	铆	68	68	mao
\u96c9	雉	68	68	zhi
\u4e47	乇	67	95	tuo/zhe
\u54a8	咨	67	67	zi
\u55ae	單	67		
\u562c	嘬	67	72	chuai/zuo
\u5a62	婢	67	67	bi
\u5e37	帷	67	67	wei
\u69b4	榴	67	67	liu
\u740f	琏	67	67	lian
\u749c	璜	67	67	huang
\u7fa9	義	67		
\u8717	蜗	67	67	wo
\u87af	螯	67	67	ao
\u8d4a	赊	67	67	she
\u94e3	铣	67	86	xi/xian
\u9aef	髯	67	67	ran
\u4f3a	伺	66	78	ci/si
\u4fdf	俟	66	72	qi/si
\u525c	剜	66	66	wan
\u553e	唾	66	66	tuo
\u5733	圳	66	66	zhen
\u5a11	娑	66	66	suo
\u5ff1	忱	66	66	chen
\u6883	梃	66	66	ting
\u8188	膈	66	66	ge
\u81fa	臺	66		
\u82a5	芥	66	73	gai/jie
\u8f87	辇	66	66	nian
\u9aa1	骡	66	66	luo
\u537b	卻	65		
\u539d	厝	65	65	cuo
\u5472	呲	65	65	zi
\u5577	啷	65	65	lang
\u5dc5	巅	65	65	dian
\u6641	晁	65	65	chao
\u699b	榛	65	65	zhen
\u6fb6	澶	65	65	chan
\u74e4	瓤	65	65	rang
\u75e8	痨	65	65	lao
\u776b	睫	65	65	jie
\u852c	蔬	65	65	shu
\u94ff	铿	65	65	keng
\u962a	阪	65	65	ban
\u968a	隊	65		
\u4edd	仝	64	64	tong
\u54cf	哏	64	64	gen
\u5623	嘣	64	64	beng
\u587e	塾	64	64	shu
\u58d5	壕	64	64	hao
\u5beb	寫	64		
\u623e	戾	64	64	li
\u6619	昙	64	64	tan
\u696d	業	64		
\u6eba	溺	64	128	ni/niao
\u7272	牲	64	64	sheng
\u768e	皎	64	64	jiao
\u8072	聲	64		
\u82d2	苒	64	64	ran
\u86f0	蛰	64	64	zhe
\u8df7	跷	64	64	qiao
\u9668	陨	64	64	yun
\u9889	颉	64	70	jie/xie
\u9cdd	鳝	64	64	shan
\u4e98	亘	63	63	gen
\u52d0	勐	63	63	meng
\u55ea	嗪	63	63	qin
\u6a94	檔	63		
\u7f14	缔	63	63	di
\u7fcc	翌	63	63	yi
\u8019	耙	63	115	ba/pa
\u8028	耨	63	63	nou
\u80eb	胫	63	63	jing
\u8611	蘑	63	63	mo
\u8a0e	討	63		
\u9e33	鸳	63	63	yuan
\u5247	則	62		
\u54e1	員	62		
\u5729	圩	62	123	wei/xu
\u5807	堇	62	62	jin
\u5919	夙	62	62	su
\u59b3	妳	62		
\u6063	恣	62	62	zi
\u631d	挝	62	83	wo/zhua
\u69ce	槎	62	62	cha
\u6ccc	泌	62	68	bi/mi
\u783a	砺	62	62	li
\u7ae3	竣	62	62	jun
\u7f81	羁	62	62	ji
\u803d	耽	62	62	dan
\u8367	荧	62	62	ying
\u8473	葳	62	62	wei
\u887e	衾	62	62	qin
\u8c2f	谯	62	62	qiao
\u8f90	辐	62	62	fu
\u9088	邈	62	62	miao
\u989e	颞	62	62	nie
\u9ab8	骸	62	62	hai
\u4fd8	俘	61	61	fu
\u50f9	價	61		
\u51bd	冽	61	61	lie
\u5ef4	廴	61	122	jue/yin
\u5f37	強	61		
\u5fff	忿	61	61	fen
\u60f6	惶	61	61	huang
\u62c4	拄	61	61	zhu
\u63a3	掣	61	61	che
\u68f9	棹	61	61	zhao
\u6934	椴	61	61	duan
\u7039	瀹	61	61	yue
\u71a0	熠	61	61	yi
\u742c	琬	61	61	wan
\u7750	睐	61	61	lai
\u783e	砾	61	61	li
\u7946	祆	61	61	xian
\u81ca	臊	61	61	sao
\u8208	興	61		
\u863c	蘼	61	61	mi
\u86db	蛛	61	61	zhu
\u8d48	赈	61	61	zhen
\u8e1d	踝	61	61	huai
\u9509	锉	61	61	cuo
\u9554	镔	61	61	bin
\u54a3	咣	60	60	guang
\u586c	塬	60	60	yuan
\u5cb7	岷	60	60	min
\u5d58	嵘	60	60	rong
\u74d2	瓒	60	60	zan
\u7bc1	篁	60	60	huang
\u8006	耆	60	60	qi
\u828d	芍	60	60	shao
\u8511	蔑	60	60	mie
\u869c	蚜	60	60	ya
\u8757	蝗	60	60	huang
\u8d3f	贿	60	60	hui
\u904f	遏	60	60	e
\u949a	钚	60	60	bu
\u94bf	钿	60	87	dian/tian
\u94f0	铰	60	60	jiao
\u9cd7	鳗	60	60	man
\u54bb	咻	59	59	xiu
\u5a09	娉	59	59	ping
\u5f67	彧	59	59	yu
\u6175	慵	59	59	yong
\u6ed7	滗	59	59	bi
\u6f29	漩	59	59	xuan
\u742e	琮	59	59	cong
\u7e3d	總	59		
\u7ec9	绉	59	59	zhou
\u7f2e	缮	59	59	shan
\u7faf	羯	59	59	jie
\u821b	舛	59	59	chuan
\u8605	蘅	59	59	heng
\u8b70	議	59		
\u8ddb	跛	59	59	bo
\u8fa6	辦	59		
\u98a2	颢	59	59	hao
\u9e6b	鹫	59	59	jiu
\u50b3	傳	58		
\u5c49	屉	58	58	ti
\u6b83	殃	58	58	yang
\u6b89	殉	58	58	xun
\u6d5a	浚	58	116	jun/xun
\u72e9	狩	58	58	shou
\u7337	猷	58	58	you
\u739f	玟	58	77	min/wen
\u7977	祷	58	58	dao
\u7ff3	翳	58	58	yi
\u8026	耦	58	58	ou
\u80b4	肴	58	58	yao
\u86c0	蛀	58	58	zhu
\u8c27	谧	58	58	mi
\u90c5	郅	58	58	zhi
\u92ae	銮	58	58	luan
\u9506	锆	58	58	gao
\u9517	锗	58	58	zhe
\u951f	锟	58	58	kun
\u9534	锴	58	58	kai
\u965b	陛	58	58	bi
\u527f	剿	57	63	chao/jiao
\u556e	啮	57	57	nie
\u5960	奠	57	57	dian
\u59d8	姘	57	57	pin
\u5b7a	孺	57	57	ru
\u6059	恙	57	57	yang
\u6115	愕	57	57	e
\u693d	椽	57	57	chuan
\u6d4f	浏	57	57	liu
\u6f13	漓	57	57	li
\u73ee	珮	57	57	pei
\u74a8	璨	57	57	can
\u75ff	痿	57	57	wei
\u8760	蝠	57	57	fu
\u8c19	谙	57	57	an
\u8c24	谤	57	57	bang
\u8d91	趑	57	57	zi
\u955b	镛	57	57	yong
\u4ff8	俸	56	56	feng
\u500c	倌	56	56	guan
\u5308	匈	56	56	xiong
\u54fd	哽	56	56	geng
\u5659	噙	56	56	qin
\u56d4	囔	56	56	nang
\u58c5	壅	56	56	yong
\u60f0	惰	56	56	duo
\u6151	慑	56	56	she
\u6452	摒	56	56	bing
\u659b	斛	56	56	hu
\u6c7a	決	56		
\u6d60	浠	56	56	xi
\u7178	煸	56	56	bian
\u7fe9	翩	56	56	pian
\u842c	萬	56		
\u8c30	谰	56	56	lan
\u90dc	郜	56	56	gao
\u95fe	闾	56	56	lv
\u97ed	韭	56	56	jiu
