汉字	频次
严	415
富	415
愿	415
假	414
压	414
破	414
充	413
职	413
状	412
—	411
终	411
罪	411
排	410
午	408
积	408
检	405
笑	404
货	404
睡	403
红	403
约	403
划	401
画	401
减	400
庭	399
略	398
A	397
满	397
额	397
列	395
府	393
省	392
致	392
须	391
营	389
足	389
拍	388
补	386
谈	386
择	384
艺	382
否	380
围	380
跑	378
福	377
贵	377
困	375
怕	375
纳	374
罗	374
送	372
黄	372
借	371
穿	371
银	371
俩	368
景	368
健	367
罚	365
刑	364
益	364
守	363
脑	362
配	362
概	361
波	359
香	357
负	356
刻	355
键	355
室	354
适	352
毕	350
股	350
智	349
P	348
搞	348
伟	347
述	347
l	345
属	345
席	345
李	345
康	344
础	344
监	341
s	340
土	340
游	340
获	340
食	340
斗	339
击	338
味	338
留	338
料	337
洗	337
随	337
税	336
般	336
献	335
冠	333
停	331
幕	331
财	330
疫	329
倒	328
答	327
促	326
修	326
卫	326
唉	325
楼	325
乡	324
】	323
【	322
居	322
评	321
左	319
母	319
哥	318
细	316
牌	314
初	313
奋	313
练	313
右	312
纪	312
父	311
征	310
靠	308
C	307
竞	307
衣	307
唱	306
则	305
播	305
油	305
批	304
戏	303
执	303
R	301
喝	301
抢	301
券	300
察	300
购	300
店	299
石	299
预	296
春	295
冬	294
降	294
素	293
销	293
票	292
赶	291
尽	289
享	288
软	288
古	287
索	287
詹	287
懂	286
牛	286
兵	285
星	284
毒	284
织	284
许	284
移	282
追	282
刘	281
套	280
菜	279
独	278
付	277
皮	277
龙	277
诺	276
障	276
短	274
届	273
待	273
湾	273
肉	273
胜	273
苦	273
努	272
港	272
激	272
噢	271
梦	271
河	268
章	268
篮	268
宝	267
卡	266
园	265
予	264
急	264
均	263
刺	262
森	262
测	262
脚	262
丰	261
余	261
亮	259
序	259
库	257
B	256
阶	256
兰	255
讨	254
贫	254
跳	254
似	253
虽	253
忘	252
绝	252
夫	251
州	251
奶	250
D	249
永	249
申	248
止	247
误	247
违	247
绿	246
拜	245
涉	244
仅	243
挑	243
累	243
O	242
培	242
射	242
床	242
抓	242
雷	242
c	241
p	241
幸	238
操	238
呵	237
婚	237
挥	237
苏	237
冲	236
密	236
礼	236
零	236
I	235
h	235
呃	233
措	233
震	233
奖	232
签	231
轮	231
宣	230
彻	230
甲	229
虑	229
吸	228
介	227
异	227
称	227
笔	226
践	226
黑	226
尼	225
酒	225
频	225
即	224
季	224
析	224
翻	223
阳	223
既	222
启	221
端	221
缺	221
顺	220
伤	219
贯	219
贸	219
敢	217
萨	217
折	216
绩	215
勇	214
综	213
订	213
云	212
占	212
昨	212
篇	212
托	211
扩	211
遇	211
杂	210
牙	210
甚	210
版	209
聊	209
脸	209
吉	208
症	208
昂	207
毛	207
熟	207
雨	206
d	205
损	205
输	204
迪	204
T	203
V	203
u	203
峰	203
座	203
访	203
针	203
E	202
宁	202
船	201
唯	200
杀	200
汇	200
m	199
盖	199
码	199
剧	198
唐	198
弟	197
赔	196
久	195
官	195
铁	195
架	194
硬	194
贝	194
材	193
洋	193
馆	193
怪	192
染	192
距	191
遍	191
迎	190
G	189
呗	189
坏	189
稍	189
趣	189
释	189
哭	187
姨	187
藏	187
S	186
筑	186
伙	185
圈	185
巨	185
偿	184
曲	184
督	183
糖	183
莫	183
厉	182
沟	182
