NO	PHRASE	DPIWN	TDPIWN	PERCENT	TPERCENT	JDICT
132	學校	714	311547	0.09424100	41.12115116	*
133	快	711	312258	0.09384503	41.21499619	*
134	事	704	312962	0.09292110	41.30791729	*
135	啊	703	313665	0.09278911	41.40070640	*
136	但是	695	314360	0.09173319	41.49243959	*
137	聽	693	315053	0.09146921	41.58390880	*
138	地方	677	315730	0.08935737	41.67326617	*
139	看到	674	316404	0.08896140	41.76222757	
140	跟	673	317077	0.08882941	41.85105698	*
141	打	670	317747	0.08843343	41.93949041	*
142	問	664	318411	0.08764149	42.02713190	*
143	現在	652	319063	0.08605761	42.11318951	*
144	喜歡	649	319712	0.08566164	42.19885115	*
145	邊	644	320356	0.08500169	42.28385284	*
146	爸爸	637	320993	0.08407776	42.36793060	*
147	一樣	634	321627	0.08368179	42.45161239	*
148	如	633	322260	0.08354980	42.53516219	*
149	太	620	322880	0.08183392	42.61699611	*
150	許多	620	323500	0.08183392	42.69883003	*
151	字	607	324107	0.08011805	42.77894808	*
152	一起	602	324709	0.07945810	42.85840618	*
153	不同	602	325311	0.07945810	42.93786428	*
154	便	602	325913	0.07945810	43.01732238	*
155	成	596	326509	0.07866616	43.09598854	*
156	一定	593	327102	0.07827019	43.17425873	*
157	非常	586	327688	0.07734626	43.25160499	*
158	已經	581	328269	0.07668631	43.32829130	*
159	下來	575	328844	0.07589437	43.40418567	*
160	心	572	329416	0.07549840	43.47968407	*
161	不是	562	329978	0.07417849	43.55386256	*
162	先	557	330535	0.07351854	43.62738110	*
163	高	555	331090	0.07325456	43.70063566	*
164	時間	554	331644	0.07312257	43.77375823	*
165	新	553	332197	0.07299058	43.84674881	*
166	東西	552	332749	0.07285859	43.91960740	*
167	元	551	333300	0.07272660	43.99233400	*
168	出	549	333849	0.07246262	44.06479662	*
169	帶	544	334393	0.07180267	44.13659929	*
170	快樂	543	334936	0.07167068	44.20826997	*
171	練習	537	335473	0.07087874	44.27914871	*
172	比	536	336009	0.07074675	44.34989546	*
173	學生	535	336544	0.07061476	44.42051022	*
174	活動	533	337077	0.07035078	44.49086100	*
175	條	533	337610	0.07035078	44.56121178	*
176	回答	531	338141	0.07008680	44.63129858	*
177	覺得	531	338672	0.07008680	44.70138538	*
178	可是	525	339197	0.06929486	44.77068024	*
179	多少	525	339722	0.06929486	44.83997510	*
180	外	517	340239	0.06823893	44.90821403	*
181	都是	516	340755	0.06810694	44.97632097	
182	圖	512	341267	0.06757898	45.04389995	*
183	分	503	341770	0.06639107	45.11029102	*
184	手	503	342273	0.06639107	45.17668209	*
185	呀	501	342774	0.06612709	45.24280918	*
186	謝謝	497	343271	0.06559913	45.30840831	
187	牠	491	343762	0.06480719	45.37321550	*
188	動物	488	344250	0.06441122	45.43762672	*
189	不要	487	344737	0.06427923	45.50190595	*
190	誰	480	345217	0.06335530	45.56526125	*
191	住	479	345696	0.06322331	45.62848456	*
192	第一	478	346174	0.06309132	45.69157588	*
193	內	471	346645	0.06216738	45.75374326	*
194	段	471	347116	0.06216738	45.81591064	*
195	課文	470	347586	0.06203539	45.87794603	*
196	雖然	467	348053	0.06163942	45.93958545	*
197	已	464	348517	0.06124345	46.00082890	*
198	進	464	348981	0.06124345	46.06207235	*
199	花	462	349443	0.06097947	46.12305182	*
200	身體	457	349900	0.06031952	46.18337134	*
201	發現	457	350357	0.06031952	46.24369086	*
202	全	455	350812	0.06005554	46.30374640	*
203	課	451	351263	0.05952758	46.36327398	*
204	開始	446	351709	0.05886763	46.42214161	*
205	數	445	352154	0.05873564	46.48087725	*
206	還是	444	352598	0.05860365	46.53948090	*
207	放	438	353036	0.05781171	46.59729261	*
208	世界	436	353472	0.05754773	46.65484034	*
209	玩	435	353907	0.05741574	46.71225608	*
210	工作	433	354340	0.05715176	46.76940784	*
211	班	430	354770	0.05675579	46.82616363	*
212	找	427	355197	0.05635982	46.88252345	*
213	地球	425	355622	0.05609584	46.93861929	*
214	頭	425	356047	0.05609584	46.99471513	*
215	母親	421	356468	0.05556787	47.05028300	*
216	祝	421	356889	0.05556787	47.10585087	*
217	不會	420	357309	0.05543588	47.16128675	*
218	間	420	357729	0.05543588	47.21672263	*
219	小朋友	419	358148	0.05530389	47.27202652	
220	見	419	358567	0.05530389	47.32733041	*
221	故事	418	358985	0.05517190	47.38250231	*
222	張	414	359399	0.05464394	47.43714625	*
223	畫	407	359806	0.05372001	47.49086626	*
224	跑	407	360213	0.05372001	47.54458627	*
225	起	406	360619	0.05358802	47.59817429	*
226	完	405	361024	0.05345603	47.65163032	*
227	那麼	405	361429	0.05345603	47.70508635	*
228	回	404	361833	0.05332404	47.75841039	*
229	太陽	403	362236	0.05319205	47.81160244	*
230	名	399	362635	0.05266409	47.86426653	*
231	例	397	363032	0.05240011	47.91666664	*
232	今天	395	363427	0.05213613	47.96880277	*
233	方法	395	363822	0.05213613	48.02093890	*
234	愛	393	364215	0.05187215	48.07281105	*
235	聲	393	364608	0.05187215	48.12468320	*
236	朋友	387	364995	0.05108021	48.17576341	*
237	孩子	387	365382	0.05108021	48.22684362	*
238	別	384	365766	0.05068424	48.27752786	*
239	妳	382	366148	0.05042026	48.32794812	*
