字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
1,的,白,08,39632,39632,3.94012662
2,一,一,01,12955,52587,5.22808434
3,是,日,09,11865,64452,6.40767665
4,不,一,04,9889,74341,7.39081936
5,有,月,06,9414,83755,8.32673862
6,在,土,06,9364,93119,9.25768699
7,人,人,02,8004,101123,10.05342713
8,以,人,05,6442,107565,10.69387666
9,為,火,09,5914,113479,11.28183358
10,中,｜,04,5884,119363,11.86680797
11,大,大,03,5854,125217,12.44879983
12,會,曰,13,5239,130456,12.96964973
13,上,一,03,5110,135566,13.47767474
14,了,??,02,5057,140623,13.98043060
15,可,口,05,4835,145458,14.46111571
16,這,??,11,4775,150233,14.93583575
17,時,日,10,4729,154962,15.40598257
18,來,人,08,4565,159527,15.85982487
19,年,干,06,4541,164068,16.31128114
20,個,人,10,4541,168609,16.76273741
21,他,人,05,4490,173099,17.20912337
22,出,凵,05,4269,177368,17.63353800
23,到,刀,08,4229,181597,18.05397592
24,國,囗,11,4222,185819,18.47371791
25,我,戈,07,4120,189939,18.88331928
26,也,乙,03,4114,194053,19.29232415
27,要,襾,09,3982,198035,19.68820587
28,成,戈,06,3755,201790,20.06151974
29,而,而,06,3743,205533,20.43364060
30,能,肉,10,3664,209197,20.79790745
31,就,尢,12,3337,212534,21.12966468
32,地,土,06,3308,215842,21.45853880
33,對,寸,14,3293,219135,21.78592164
34,後,彳,09,3261,222396,22.11012312
35,於,方,08,3217,225613,22.42995021
36,之,??,04,3192,228805,22.74729186
37,多,夕,06,3141,231946,23.05956320
38,用,用,05,3139,235085,23.37163570
39,生,生,05,3134,238219,23.68321112
40,台,口,05,3117,241336,23.99309643
41,行,行,06,3003,244339,24.29164811
42,和,口,08,2917,247256,24.58164986
43,過,??,13,2871,250127,24.86707839
44,所,戶,08,2864,252991,25.15181099
45,們,人,10,2855,255846,25.43564884
46,作,人,07,2849,258695,25.71889018
47,業,木,13,2841,261536,26.00133618
48,公,八,04,2835,264371,26.28318566
49,因,囗,06,2828,267199,26.56433923
50,自,自,06,2767,269966,26.83942831
51,得,彳,11,2740,272706,27.11183311
52,與,臼,14,2725,275431,27.38274664
53,十,十,02,2715,278146,27.65266599
54,家,??,10,2706,280852,27.92169058
55,發,??,12,2695,283547,28.18962158
56,下,一,03,2688,286235,28.45685665
57,現,玉,11,2663,288898,28.72160627
58,如,女,06,2637,291535,28.98377104
59,者,老,08,2612,294147,29.24345035
60,前,刀,09,2596,296743,29.50153899
61,都,邑,11,2570,299313,29.75704276
62,經,糸,13,2543,301856,30.00986225
63,方,方,04,2496,304352,30.25800910
64,及,又,04,2487,306839,30.50526119
65,最,??,12,2446,309285,30.74843715
66,外,夕,05,2425,311710,30.98952534
67,將,寸,11,2420,314130,31.23011644
68,長,長,08,2387,316517,31.46742675
69,當,田,13,2380,318897,31.70404114
70,分,刀,04,2376,321273,31.94025785
71,高,高,10,2329,323602,32.17180193
72,動,力,11,2321,325923,32.40255066
73,市,巾,05,2312,328235,32.63240464
74,但,人,07,2311,330546,32.86215920
75,說,言,14,2294,332840,33.09022365
76,新,斤,13,2234,335074,33.31232304
77,心,心,04,2229,337303,33.53392533
78,然,火,12,2228,339531,33.75542821
79,法,水,08,2196,341727,33.97374972
80,其,八,08,2174,343901,34.18988404
81,子,子,03,2173,346074,34.40591894
82,力,力,02,2158,348232,34.62046257
83,天,大,04,2151,350383,34.83431028
84,日,日,04,2142,352525,35.04726323
85,場,土,12,2138,354663,35.25981850
86,開,門,12,2129,356792,35.47147902
87,表,衣,08,2119,358911,35.68214536
88,同,口,06,2111,361022,35.89201635
89,三,一,03,2109,363131,36.10168851
90,資,貝,13,2107,365238,36.31116184
91,理,玉,11,2093,367331,36.51924331
92,此,止,06,2085,369416,36.72652944
93,主,??,05,2063,371479,36.93162838
94,小,小,03,2054,373533,37.13583256
95,本,木,05,2050,375583,37.33963907
96,事,??,08,2043,377626,37.54274966
97,定,??,08,2010,379636,37.74257945
98,好,女,06,2008,381644,37.94221042
99,電,雨,13,2007,383651,38.14174196
100,加,力,05,1967,385618,38.33729679
101,美,羊,09,1929,387547,38.52907374
102,面,面,09,1914,389461,38.71935943
103,部,邑,11,1902,391363,38.90845210
104,二,二,02,1899,393262,39.09724652
105,民,氏,05,1884,395146,39.28454968
106,工,工,03,1883,397029,39.47175341
107,進,??,12,1872,398901,39.65786355
108,由,田,05,1858,400759,39.84258184
109,機,木,16,1857,402616,40.02720071
110,體,骨,23,1835,404451,40.20963239
111,品,口,09,1819,406270,40.39047339
112,性,心,08,1798,408068,40.56922661
113,種,禾,14,1787,409855,40.74688623
114,等,竹,12,1777,411632,40.92355168
115,使,人,08,1775,413407,41.10001829
116,內,入,04,1771,415178,41.27608723
117,重,里,09,1754,416932,41.45046607
118,間,門,12,1733,418665,41.62275713
119,你,人,07,1719,420384,41.79365635
120,相,目,09,1717,422101,41.96435673
121,金,金,08,1712,423813,42.13456002
122,產,生,11,1707,425520,42.30426622
123,無,火,12,1688,427208,42.47208348
124,已,己,03,1687,428895,42.63980132
125,全,入,06,1686,430581,42.80741975
126,位,人,07,1646,432227,42.97106146
127,著,艸,12,1638,433865,43.13390784
128,學,子,16,1631,435496,43.29605828
129,並,一,08,1626,437122,43.45771164
130,情,心,11,1617,438739,43.61847024
131,或,戈,08,1615,440354,43.77903000
132,月,月,04,1606,441960,43.93869500
133,車,車,07,1597,443557,44.09746524
134,合,口,06,1595,445152,44.25603665
135,員,口,10,1594,446746,44.41450864
136,影,??,15,1593,448339,44.57288121
137,去,??,05,1580,449919,44.72996135
138,比,比,04,1576,451495,44.88664381
139,果,木,08,1575,453070,45.04322686
140,只,口,05,1573,454643,45.19961108
141,實,??,14,1567,456210,45.35539878
142,意,心,13,1561,457771,45.51058999
143,還,??,17,1557,459328,45.66538351
144,看,目,09,1550,460878,45.81948112
145,度,??,09,1540,462418,45.97258454
146,利,刀,07,1528,463946,46.12449496
147,政,??,09,1521,465467,46.27570945
148,些,二,08,1519,466986,46.42672510
149,兩,入,08,1516,468502,46.57744250
150,起,走,10,1505,470007,46.72706630
151,期,月,12,1503,471510,46.87649127
152,化,匕,04,1483,472993,47.02392788
153,式,弋,06,1461,474454,47.16917730
154,目,目,05,1457,475911,47.31402905
155,很,彳,09,1448,477359,47.45798603
156,五,二,04,1443,478802,47.60144593
157,點,黑,17,1438,480240,47.74440874
158,司,口,05,1430,481670,47.88657621
159,元,儿,04,1428,483098,48.02854484
160,更,曰,07,1413,484511,48.16902221
161,提,手,12,1408,485919,48.30900248
162,股,肉,08,1398,487317,48.44798858
163,總,糸,17,1397,488714,48.58687526
164,統,糸,11,1389,490103,48.72496660
165,應,心,17,1386,491489,48.86275968
166,四,囗,05,1381,492870,49.00005567
167,代,人,05,1380,494250,49.13725225
168,水,水,04,1378,495628,49.27424999
169,沒,水,07,1377,497005,49.41114832
170,正,止,05,1375,498380,49.54784780
171,常,巾,11,1374,499754,49.68444787
172,入,入,02,1372,501126,49.82084911
173,報,土,12,1372,502498,49.95725034
174,關,門,19,1364,503862,50.09285623
175,投,手,07,1337,505199,50.22577784
176,從,彳,11,1333,506532,50.35830178
177,則,刀,09,1331,507863,50.49062689
178,至,至,06,1327,509190,50.62255432
179,文,文,04,1324,510514,50.75418350
180,選,??,16,1310,511824,50.88442083
181,名,口,06,1304,513128,51.01406165
182,物,牛,08,1298,514426,51.14310597
183,特,牛,10,1285,515711,51.27085786
184,示,示,05,1273,516984,51.39741673
185,手,手,04,1269,518253,51.52357793
186,想,心,13,1269,519522,51.64973913
187,再,??,06,1267,520789,51.77570149
188,道,??,13,1259,522048,51.90086851
189,灣,水,25,1227,523275,52.02285417
190,第,竹,11,1223,524498,52.14444215
191,每,毋,07,1220,525718,52.26573187
192,數,??,15,1220,526938,52.38702160
193,身,身,07,1207,528145,52.50701890
194,價,人,15,1200,529345,52.62632027
195,指,手,09,1190,530535,52.74462746
196,立,立,05,1185,531720,52.86243757
197,次,欠,06,1184,532904,52.98014825
198,受,又,08,1171,534075,53.09656651
199,計,言,09,1167,535242,53.21258709
200,路,足,13,1155,536397,53.32741466
201,今,人,04,1150,537547,53.44174514
202,感,心,13,1150,538697,53.55607562
203,那,邑,07,1143,539840,53.66971018
204,百,白,06,1125,540965,53.78155521
205,問,口,11,1124,542089,53.89330083
206,讓,言,24,1123,543212,54.00494703
207,處,虍,11,1120,544332,54.11629498
208,做,人,11,1117,545449,54.22734467
209,程,禾,12,1114,546563,54.33809611
210,她,女,06,1111,547674,54.44854930
211,各,口,06,1103,548777,54.55820714
212,原,厂,10,1103,549880,54.66786498
213,樣,木,15,1096,550976,54.77682690
214,少,小,04,1092,552068,54.88539115
215,被,衣,11,1092,553160,54.99395540
216,商,口,11,1083,554243,55.10162488
217,任,人,06,1078,555321,55.20879728
218,展,尸,10,1076,556397,55.31577085
219,麼,麻,14,1074,557471,55.42254557
220,導,寸,16,1059,558530,55.52782903
221,建,??,09,1058,559588,55.63301308
222,區,??,11,1054,560642,55.73779945
223,設,言,11,1053,561695,55.84248640
224,量,里,12,1050,562745,55.94687510
225,較,車,13,1049,563794,56.05116438
226,萬,禸,13,1044,564838,56.15495657
227,樂,木,15,1044,565882,56.25874877
228,北,匕,05,1038,566920,56.36194445
229,活,水,09,1028,567948,56.46414596
230,才,手,03,1021,568969,56.56565154
231,接,手,11,1013,569982,56.66636179
232,題,頁,18,1012,570994,56.76697261
233,九,乙,02,1009,572003,56.86728518
234,己,己,03,1008,573011,56.96749833
235,演,水,14,1007,574018,57.06761206
236,女,女,03,1000,575018,57.16702987
237,色,色,06,997,576015,57.26614943
238,保,人,09,997,577012,57.36526898
239,術,行,11,995,578007,57.46418971
240,六,八,04,990,578997,57.56261334
241,回,囗,06,986,579983,57.66063930
242,別,刀,07,981,580964,57.75816817
243,球,玉,11,980,581944,57.85559762
244,片,片,04,977,582921,57.95272882
245,運,??,13,976,583897,58.04976060
246,通,??,11,974,584871,58.14659355
247,認,言,14,969,585840,58.24292941
248,未,木,05,968,586808,58.33916584
249,像,人,14,965,587773,58.43510403
250,何,人,07,963,588736,58.53084338
251,氣,气,10,961,589697,58.62638390
252,基,土,11,961,590658,58.72192441
253,近,??,08,959,591617,58.81726609
254,調,言,15,957,592574,58.91240893
255,明,日,08,954,593528,59.00725352
256,頭,頁,16,952,594480,59.10189928
257,管,竹,14,948,595428,59.19614736
258,八,八,02,946,596374,59.29019661
259,許,言,11,942,597316,59.38384819
260,務,力,11,940,598256,59.47730093
261,記,言,10,939,599195,59.57065425
262,變,言,23,933,600128,59.66341106
263,解,角,13,932,601060,59.75606846
264,畫,田,12,919,601979,59.84743343
265,該,言,13,917,602896,59.93859956
266,知,矢,08,916,603812,60.02966627
267,交,??,06,912,604724,60.12033532
268,觀,見,25,911,605635,60.21090494
269,達,??,13,910,606545,60.30137515
270,向,口,06,908,607453,60.39164652
271,老,老,06,906,608359,60.48171905
272,七,一,02,898,609257,60.57099625
273,造,??,11,897,610154,60.66017402
274,型,土,09,895,611049,60.74915296
275,黨,黑,20,895,611944,60.83813190
276,結,糸,12,894,612838,60.92701142
277,營,火,17,893,613731,61.01579152
278,東,木,08,887,614618,61.10397512
279,海,水,10,881,615499,61.19156221
280,除,阜,10,881,616380,61.27914930
281,即,??,07,880,617260,61.36663697
282,平,干,05,877,618137,61.45382639
283,先,儿,06,876,619013,61.54091639
284,打,手,05,875,619888,61.62790698
285,又,又,02,870,620758,61.71440047
286,世,一,05,866,621624,61.80049629
287,安,??,06,862,622486,61.88619445
288,風,風,09,858,623344,61.97149493
289,戰,戈,16,853,624197,62.05629832
290,局,尸,07,851,625048,62.14090287
291,教,??,11,848,625896,62.22520918
292,且,一,05,846,626742,62.30931664
293,院,阜,10,846,627588,62.39342411
294,改,??,07,840,628428,62.47693507
295,必,心,05,839,629267,62.56034661
296,口,口,03,831,630098,62.64296281
297,告,口,07,831,630929,62.72557901
298,斯,斤,12,828,631757,62.80789696
299,空,穴,08,826,632583,62.89001607
300,音,音,09,825,633408,62.97203576
301,真,目,10,825,634233,63.05405545
302,林,木,08,821,635054,63.13567747
303,信,人,09,817,635871,63.21690182
304,視,見,12,817,636688,63.29812617
305,質,貝,15,815,637503,63.37915169
306,太,大,04,814,638317,63.46007778
307,單,口,12,814,639131,63.54100388
308,共,八,06,813,639944,63.62183056
309,求,水,07,810,640754,63.70235899
310,界,田,09,809,641563,63.78278799
311,持,手,09,808,642371,63.86311758
312,連,??,11,806,643177,63.94324834
313,反,又,04,802,643979,64.02298142
314,直,目,08,802,644781,64.10271450
315,卻,??,09,800,645581,64.18224875
316,完,??,07,799,646380,64.26168358
317,強,弓,11,799,647179,64.34111841
318,非,非,08,790,647969,64.41965848
319,把,手,07,789,648758,64.49809913
320,隊,阜,12,786,649544,64.57624153
321,見,見,07,780,650324,64.65378742
322,率,玄,11,778,651102,64.73113448
323,裡,衣,13,776,651878,64.80828270
324,組,糸,11,775,652653,64.88533150
325,件,人,06,772,653425,64.96208205
326,幾,??,12,772,654197,65.03883260
327,士,士,03,771,654968,65.11548373
328,具,八,08,770,655738,65.19203544
329,約,糸,09,770,656508,65.26858715
330,話,言,13,769,657277,65.34503945
331,整,??,16,765,658042,65.42109407
332,功,力,05,764,658806,65.49704928
333,馬,馬,10,758,659564,65.57240798
334,光,儿,06,755,660319,65.64746842
335,容,??,10,751,661070,65.72213120
336,標,木,15,748,661818,65.79649572
337,形,??,07,746,662564,65.87066141
338,放,??,08,745,663309,65.94472767
339,格,木,10,745,664054,66.01879394
340,需,雨,14,743,664797,66.09266137
341,傳,人,13,742,665539,66.16642939
342,往,彳,08,737,666276,66.23970031
343,張,弓,11,734,667010,66.31267299
344,收,??,06,733,667743,66.38554624
345,服,月,08,732,668475,66.45832008
346,它,??,05,729,669204,66.53079566
347,望,月,11,726,669930,66.60297299
348,覺,見,20,723,670653,66.67485207
349,專,寸,11,721,671374,66.74653231
350,給,糸,12,720,672094,66.81811313
351,西,襾,06,717,672811,66.88939570
352,便,人,09,717,673528,66.96067827
353,腦,肉,13,716,674244,67.03186142
354,師,巾,10,713,674957,67.10274632
355,議,言,20,711,675668,67.17343238
356,案,木,10,709,676377,67.24391961
357,華,艸,12,708,677085,67.31430742
358,克,儿,07,704,677789,67.38429755
359,另,口,05,696,678485,67.45349235
360,易,日,08,695,679180,67.52258773
361,類,頁,19,694,679874,67.59158369
362,流,水,09,693,680567,67.66048023
363,山,山,03,692,681259,67.72927735
364,團,囗,14,690,681949,67.79787564
365,線,糸,15,690,682639,67.86647393
366,仍,人,04,685,683324,67.93457513
367,門,門,08,677,684001,68.00188098
368,費,貝,12,677,684678,68.06918684
369,南,十,09,675,685353,68.13629386
370,效,??,10,673,686026,68.20320205
371,票,示,11,672,686698,68.27001082
372,雖,隹,17,671,687369,68.33672017
373,象,豕,12,669,688038,68.40323068
374,府,??,08,668,688706,68.46964178
375,辦,辛,16,668,689374,68.53605287
376,帶,巾,11,664,690038,68.60206630
377,言,言,07,662,690700,68.66788089
378,際,阜,14,662,691362,68.73369548
379,客,??,09,661,692023,68.79941065
380,廠,??,15,655,692678,68.86452932
381,料,斗,10,653,693331,68.92944915
382,藝,艸,19,651,693982,68.99417014
383,引,弓,04,650,694632,69.05879172
384,制,刀,08,649,695281,69.12331387
385,顯,頁,23,648,695929,69.18773661
386,書,曰,10,646,696575,69.25196052
387,包,??,05,645,697220,69.31608501
388,轉,車,18,642,697862,69.37991124
389,備,人,12,641,698503,69.44363806
390,花,艸,08,636,699139,69.50686778
391,系,糸,07,634,699773,69.56989867
392,推,手,11,632,700405,69.63273073
393,決,水,07,627,701032,69.69506570
394,精,米,14,627,701659,69.75740066
395,德,彳,15,627,702286,69.81973563
396,據,手,16,623,702909,69.88167292
397,清,水,11,622,703531,69.94351080
398,走,走,07,620,704151,70.00514984
399,眾,目,11,619,704770,70.06668947
400,裝,衣,13,619,705389,70.12822909
401,規,見,11,614,706003,70.18927163
402,查,木,09,613,706616,70.25021474
403,陸,阜,11,612,707228,70.31105844
404,低,人,07,609,707837,70.37160389
405,廣,??,15,609,708446,70.43214933
406,供,人,08,608,709054,70.49259536
407,難,隹,19,608,709662,70.55304139
408,病,??,10,606,710268,70.61328858
409,財,貝,10,605,710873,70.67343636
410,陳,阜,11,601,711474,70.73318646
411,李,木,07,600,712074,70.79283715
412,兒,儿,08,599,712673,70.85238841
413,社,示,08,598,713271,70.91184026
414,創,刀,12,597,713868,70.97119270
415,預,頁,13,594,714462,71.03024687
416,權,木,22,590,715052,71.08890338
417,訊,言,10,589,715641,71.14746047
418,增,土,15,588,716229,71.20591814
419,例,人,08,586,716815,71.26417698
420,房,戶,08,586,717401,71.32243582
421,技,手,07,584,717985,71.38049582
422,買,貝,12,584,718569,71.43855582
423,始,女,08,582,719151,71.49641698
424,億,人,15,578,719729,71.55388048
425,治,水,08,576,720305,71.61114513
426,義,羊,13,575,720880,71.66831037
427,響,音,21,575,721455,71.72547561
428,什,人,04,574,722029,71.78254144
429,眼,目,11,574,722603,71.83960726
430,舉,臼,17,574,723177,71.89667308
431,神,示,10,571,723748,71.95344065
432,食,食,09,570,724318,72.01010880
433,遊,??,13,570,724888,72.06677695
434,消,水,10,569,725457,72.12334569
435,獲,犬,17,568,726025,72.17981500
436,愛,心,13,566,726591,72.23608548
437,器,口,16,566,727157,72.29235596
438,曾,曰,12,565,727722,72.34852703
439,銀,金,14,564,728286,72.40459867
440,快,心,07,562,728848,72.46047148
441,白,白,05,561,729409,72.51624487
442,取,又,08,561,729970,72.57201826
443,攝,手,21,561,730531,72.62779165
444,千,十,03,558,731089,72.68326679
445,王,玉,04,558,731647,72.73874193
446,希,巾,07,558,732205,72.79421706
447,配,酉,10,554,732759,72.84929453
448,論,言,15,552,733311,72.90417316
449,住,人,07,551,733862,72.95895237
450,準,水,13,550,734412,73.01363217
451,須,頁,12,548,734960,73.06811313
452,勢,力,13,547,735507,73.12249467
453,值,人,10,546,736053,73.17677680
454,亞,二,08,545,736598,73.23095950
455,集,隹,12,545,737143,73.28514221
456,滿,水,14,545,737688,73.33932491
457,續,糸,21,543,738231,73.39330878
458,參,??,11,542,738773,73.44719324
459,環,玉,17,542,739315,73.50107769
460,確,石,15,541,739856,73.55486272
461,考,老,06,538,740394,73.60834951
462,星,日,09,536,740930,73.66163745
463,領,頁,14,535,741465,73.71482598
464,委,女,08,534,741999,73.76791509
465,步,止,07,533,742532,73.82090478
466,友,又,04,532,743064,73.87379506
467,港,水,12,532,743596,73.92668533
468,節,竹,13,532,744128,73.97957561
469,份,人,06,531,744659,74.03236646
470,醫,酉,18,530,745189,74.08505790
471,軍,車,09,529,745718,74.13764992
472,支,支,04,525,746243,74.18984427
473,項,頁,12,525,746768,74.24203862
474,親,見,16,521,747289,74.29383530
475,企,人,06,520,747809,74.34553256
476,錢,金,16,519,748328,74.39713040
477,土,土,03,516,748844,74.44842999
478,失,大,05,513,749357,74.49943133
479,角,角,07,511,749868,74.55023383
480,爭,爪,08,510,750378,74.60093691
481,輕,車,14,509,750887,74.65154058
482,研,石,09,507,751394,74.70194541
483,速,??,11,507,751901,74.75235024
484,列,刀,06,506,752407,74.80265565
485,製,衣,14,506,752913,74.85296106
486,卡,卜,05,505,753418,74.90316705
487,存,子,06,505,753923,74.95337305
488,聲,耳,17,504,754427,75.00347962
489,男,田,07,503,754930,75.05348678
490,英,艸,09,501,755431,75.10329510
491,網,糸,14,500,755931,75.15300401
492,助,力,07,499,756430,75.20261350
493,排,手,11,499,756929,75.25222298
494,級,糸,10,496,757425,75.30153422
495,貨,貝,11,496,757921,75.35084545
496,興,臼,16,492,758413,75.39975901
497,否,口,07,489,758902,75.44837432
498,半,十,05,488,759390,75.49689021
499,銷,金,15,488,759878,75.54540610
500,照,火,13,487,760365,75.59382258
501,請,言,15,487,760852,75.64223905
502,根,木,10,486,761338,75.69055610
503,底,??,08,485,761823,75.73877374
504,極,木,13,485,762308,75.78699138
505,境,土,14,484,762792,75.83510960
506,景,日,12,482,763274,75.88302898
507,熱,火,15,482,763756,75.93094837
508,致,至,09,481,764237,75.97876833
509,劇,刀,15,481,764718,76.02658830
510,香,香,09,480,765198,76.07430885
511,科,禾,09,479,765677,76.12192998
512,候,人,10,479,766156,76.16955111
513,深,水,11,479,766635,76.21717224
514,圖,囗,14,478,767113,76.26469395
515,況,水,08,477,767590,76.31211625
516,算,竹,14,475,768065,76.35933971
517,聯,耳,17,475,768540,76.40656317
518,證,言,19,474,769014,76.45368721
519,店,??,08,473,769487,76.50071183
520,般,舟,10,469,769956,76.54733878
521,令,人,05,465,770421,76.59356807
522,若,艸,09,465,770886,76.63979735
523,戲,戈,17,465,771351,76.68602663
524,超,走,12,464,771815,76.73215649
525,孩,子,09,463,772278,76.77818694
526,警,言,20,463,772741,76.82421738
527,早,日,06,453,773194,76.86925365
528,職,耳,18,452,773646,76.91419050
529,爾,爻,14,451,774097,76.95902793
530,賽,貝,17,451,774548,77.00386536
531,款,欠,12,450,774998,77.04860338
532,屬,尸,21,450,775448,77.09334139
533,段,殳,09,447,775895,77.13778115
534,切,刀,04,444,776339,77.18192266
535,驗,馬,23,443,776782,77.22596475
536,命,口,08,441,777223,77.26980800
537,狀,犬,08,441,777664,77.31365126
538,首,首,09,441,778105,77.35749451
539,雄,隹,12,441,778546,77.40133777
540,黃,黃,12,439,778985,77.44498218
541,究,穴,07,438,779423,77.48852718
542,園,囗,13,438,779861,77.53207219
543,換,手,12,437,780298,77.57551777
544,號,虍,13,437,780735,77.61896335
545,賣,貝,15,436,781171,77.66230952
546,甚,甘,09,435,781606,77.70555626
547,態,心,14,435,782041,77.74880301
548,富,??,12,434,782475,77.79195034
549,味,口,08,431,782906,77.83479941
550,念,心,08,430,783336,77.87754907
551,濟,水,17,429,783765,77.92019931
552,免,儿,07,427,784192,77.96265072
553,習,羽,11,427,784619,78.00510212
554,昨,日,09,425,785044,78.04735469
555,依,人,08,424,785468,78.08950784
556,省,目,09,424,785892,78.13166099
557,字,子,06,419,786311,78.17331706
558,隨,阜,16,419,786730,78.21497312
559,乎,??,05,418,787148,78.25652976
560,購,貝,17,418,787566,78.29808641
561,找,手,07,416,787982,78.33944421
562,紀,糸,09,415,788397,78.38070261
563,喜,口,12,413,788810,78.42176216
564,遠,??,14,413,789223,78.46282172
565,軟,車,11,412,789635,78.50378185
566,離,隹,19,412,790047,78.54474199
567,落,艸,13,411,790458,78.58560271
568,洲,水,09,405,790863,78.62586692
569,紅,糸,09,404,791267,78.66603172
570,布,巾,05,403,791670,78.70609710
571,適,??,15,403,792073,78.74616247
572,源,水,13,402,792475,78.78612843
573,層,尸,15,399,792874,78.82579614
574,升,十,04,398,793272,78.86536443
575,稅,禾,12,396,793668,78.90473388
576,積,禾,16,396,794064,78.94410333
577,擊,手,17,395,794459,78.98337337
578,死,歹,06,394,794853,79.02254398
579,足,足,07,394,795247,79.06171460
580,拉,手,08,393,795640,79.10078580
581,縣,糸,16,393,796033,79.13985700
582,斷,斤,18,393,796426,79.17892820
583,素,糸,10,392,796818,79.21789998
584,優,人,17,391,797209,79.25677234
585,模,木,15,389,797598,79.29544587
586,邊,??,19,389,797987,79.33411940
587,夠,夕,11,387,798374,79.37259409
588,史,口,05,385,798759,79.41086995
589,息,心,10,385,799144,79.44914580
590,福,示,14,384,799528,79.48732224
591,雙,隹,18,384,799912,79.52549868
592,構,木,14,383,800295,79.56357570
593,防,阜,07,382,800677,79.60155330
594,險,阜,16,382,801059,79.63953091
595,售,口,11,381,801440,79.67740909
596,曲,曰,06,380,801820,79.71518786
597,係,人,09,380,802200,79.75296663
598,護,言,21,378,802578,79.79054656
599,居,尸,08,377,802955,79.82802707
600,季,子,08,376,803331,79.86540817
601,試,言,13,376,803707,79.90278927
602,注,水,08,374,804081,79.93997153
603,座,??,10,374,804455,79.97715379
604,材,木,07,373,804828,80.01423663
605,官,??,08,373,805201,80.05131947
606,歡,欠,22,373,805574,80.08840232
607,條,木,11,372,805946,80.12538574
608,酒,酉,10,370,806316,80.16217033
609,母,毋,05,369,806685,80.19885550
610,吃,口,06,369,807054,80.23554067
611,採,手,11,369,807423,80.27222585
612,差,工,10,368,807791,80.30881160
613,絕,糸,12,368,808159,80.34539735
614,版,片,08,367,808526,80.38188369
615,嚴,口,20,367,808893,80.41837003
616,似,人,07,366,809259,80.45475694
617,壓,土,17,365,809624,80.49104444
618,談,言,15,363,809987,80.52713311
619,聽,耳,22,363,810350,80.56322177
620,初,衣,08,362,810712,80.59921102
621,蘭,艸,21,362,811074,80.63520027
622,均,土,07,361,811435,80.67109010
623,佳,人,08,359,811794,80.70678109
624,里,里,07,358,812152,80.74237267
625,練,糸,15,358,812510,80.77796424
626,識,言,19,358,812868,80.81355582
627,思,心,09,357,813225,80.84904798
628,減,水,12,357,813582,80.88454013
629,館,食,16,357,813939,80.92003229
630,登,??,12,356,814295,80.95542503
631,群,羊,13,356,814651,80.99081777
632,檢,木,17,356,815007,81.02621051
633,僅,人,13,353,815360,81.06130500
634,波,水,08,352,815712,81.09630007
635,歲,止,13,352,816064,81.13129514
636,拍,手,08,351,816415,81.16619079
637,限,阜,09,351,816766,81.20108644
638,石,石,05,350,817116,81.23588267
639,育,肉,07,350,817466,81.27067890
640,羅,网,19,350,817816,81.30547514
641,負,貝,09,349,818165,81.34017195
642,藥,艸,19,349,818514,81.37486877
643,擇,手,16,348,818862,81.40946617
644,周,口,08,347,819209,81.44396415
645,置,网,13,346,819555,81.47836271
646,戶,戶,04,344,819899,81.51256243
647,黑,黑,12,344,820243,81.54676216
648,養,食,15,344,820587,81.58096189
649,讀,言,22,343,820930,81.61506220
650,印,??,06,341,821271,81.64896367
651,油,水,08,341,821612,81.68286514
652,稱,禾,14,341,821953,81.71676661
653,皮,皮,05,339,822292,81.75046925
654,飛,飛,09,339,822631,81.78417189
655,顧,頁,21,338,822969,81.81777511
656,語,言,14,335,823304,81.85108008
657,待,彳,09,334,823638,81.88428562
658,細,糸,11,334,823972,81.91749117
659,健,人,11,332,824304,81.95049788
660,血,血,06,331,824635,81.98340518
661,筆,竹,12,331,824966,82.01631247
662,獨,犬,16,331,825297,82.04921977
663,密,??,11,328,825625,82.08182881
664,施,方,09,327,825952,82.11433843
665,室,??,09,324,826276,82.14654980
666,錯,金,16,324,826600,82.17876117
667,透,??,11,323,826923,82.21087313
668,編,糸,15,322,827245,82.24288566
669,族,方,11,319,827564,82.27459994
670,維,糸,14,319,827883,82.30631422
671,額,頁,18,319,828202,82.33802851
672,修,人,10,318,828520,82.36964337
673,責,貝,11,317,828837,82.40115881
674,擔,手,16,317,829154,82.43267426
675,錄,金,16,317,829471,82.46418971
676,火,火,04,316,829787,82.49560573
677,牌,片,12,316,830103,82.52702176
678,留,田,10,315,830418,82.55833837
679,策,竹,12,315,830733,82.58965498
680,假,人,11,314,831047,82.62087217
681,○,囗,01,313,831360,82.65198995
682,括,手,09,312,831672,82.68300830
683,刻,刀,08,310,831982,82.71382782
684,益,皿,10,310,832292,82.74464735
685,餘,食,15,310,832602,82.77546687
686,午,十,04,309,832911,82.80618697
687,善,羊,12,307,833218,82.83670824
688,農,辰,13,305,833523,82.86703067
689,故,??,09,304,833827,82.89725368
690,止,止,04,303,834130,82.92737728
691,奇,大,08,303,834433,82.95750087
692,愈,心,13,303,834736,82.98762447
693,板,木,08,301,835037,83.01754923
694,拿,手,10,301,835338,83.04747399
695,朋,月,08,300,835638,83.07729934
696,終,糸,11,300,835938,83.10712468
697,復,彳,12,299,836237,83.13685060
698,補,衣,13,299,836536,83.16657653
699,協,十,08,297,836833,83.19610362
700,休,人,06,296,837129,83.22553129
701,康,??,11,296,837425,83.25495896
702,跟,足,13,296,837721,83.28438663
703,雜,隹,18,295,838016,83.31371489
