字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
3138,驢,馬,26,7,1001976,99.61425890
3139,鑿,金,28,7,1001983,99.61495482
3140,粘,米,11,7,1001990,99.61565075
3141,筱,竹,13,7,1001997,99.61634667
3142,燁,火,16,7,1002004,99.61704260
3143,丰,｜,04,6,1002010,99.61763911
3144,夭,大,04,6,1002016,99.61823561
3145,亥,??,06,6,1002022,99.61883212
3146,圳,土,06,6,1002028,99.61942863
3147,汎,水,06,6,1002034,99.62002513
3148,盯,目,07,6,1002040,99.62062164
3149,邑,邑,07,6,1002046,99.62121815
3150,侍,人,08,6,1002052,99.62181465
3151,侃,人,08,6,1002058,99.62241116
3152,岱,山,08,6,1002064,99.62300767
3153,枋,木,08,6,1002070,99.62360417
3154,邸,邑,08,6,1002076,99.62420068
3155,阜,阜,08,6,1002082,99.62479719
3156,侮,人,09,6,1002088,99.62539369
3157,姦,女,09,6,1002094,99.62599020
3158,歪,止,09,6,1002100,99.62658671
3159,苑,艸,09,6,1002106,99.62718322
3160,倩,人,10,6,1002112,99.62777972
3161,厝,厂,10,6,1002118,99.62837623
3162,哺,口,10,6,1002124,99.62897274
3163,宵,??,10,6,1002130,99.62956924
3164,恕,心,10,6,1002136,99.63016575
3165,悖,心,10,6,1002142,99.63076226
3166,栩,木,10,6,1002148,99.63135876
3167,株,木,10,6,1002154,99.63195527
3168,荔,艸,10,6,1002160,99.63255178
3169,飢,食,10,6,1002166,99.63314828
3170,奢,大,11,6,1002172,99.63374479
3171,晤,日,11,6,1002178,99.63434130
3172,氫,气,11,6,1002184,99.63493780
3173,眶,目,11,6,1002190,99.63553431
3174,莞,艸,11,6,1002196,99.63613082
3175,訟,言,11,6,1002202,99.63672732
3176,厥,厂,12,6,1002208,99.63732383
3177,喋,口,12,6,1002214,99.63792034
3178,孳,子,12,6,1002220,99.63851685
3179,揉,手,12,6,1002226,99.63911335
3180,氯,气,12,6,1002232,99.63970986
3181,焰,火,12,6,1002238,99.64030637
3182,琛,玉,12,6,1002244,99.64090287
3183,嗚,口,13,6,1002250,99.64149938
3184,媲,女,13,6,1002256,99.64209589
3185,搗,手,13,6,1002262,99.64269239
3186,榔,木,13,6,1002268,99.64328890
3187,滄,水,13,6,1002274,99.64388541
3188,痰,??,13,6,1002280,99.64448191
3189,碉,石,13,6,1002286,99.64507842
3190,裙,衣,13,6,1002292,99.64567493
3191,詼,言,13,6,1002298,99.64627143
3192,靶,革,13,6,1002304,99.64686794
3193,僧,人,14,6,1002310,99.64746445
3194,僕,人,14,6,1002316,99.64806096
3195,撇,手,14,6,1002322,99.64865746
3196,摺,手,14,6,1002328,99.64925397
3197,甄,瓦,14,6,1002334,99.64985048
3198,箝,竹,14,6,1002340,99.65044698
3199,閩,門,14,6,1002346,99.65104349
3200,嬉,女,15,6,1002352,99.65164000
3201,憚,心,15,6,1002358,99.65223650
3202,摯,手,15,6,1002364,99.65283301
3203,摹,手,15,6,1002370,99.65342952
3204,樟,木,15,6,1002376,99.65402602
3205,漿,水,15,6,1002382,99.65462253
3206,緯,糸,15,6,1002388,99.65521904
3207,輟,車,15,6,1002394,99.65581554
3208,穌,禾,16,6,1002400,99.65641205
3209,縐,糸,16,6,1002406,99.65700856
3210,蕃,艸,16,6,1002412,99.65760506
3211,蹂,足,16,6,1002418,99.65820157
3212,遼,??,16,6,1002424,99.65879808
3213,嶺,山,17,6,1002430,99.65939459
3214,擱,手,17,6,1002436,99.65999109
3215,曙,日,17,6,1002442,99.66058760
3216,簇,竹,17,6,1002448,99.66118411
3217,嬸,女,18,6,1002454,99.66178061
3218,曜,日,18,6,1002460,99.66237712
3219,殯,歹,18,6,1002466,99.66297363
3220,謬,言,18,6,1002472,99.66357013
3221,闔,門,18,6,1002478,99.66416664
3222,嚥,口,19,6,1002484,99.66476315
3223,簷,竹,19,6,1002490,99.66535965
3224,繹,糸,19,6,1002496,99.66595616
3225,懺,心,20,6,1002502,99.66655267
3226,瀰,水,20,6,1002508,99.66714917
3227,囂,口,21,6,1002514,99.66774568
3228,籐,竹,21,6,1002520,99.66834219
3229,躋,足,21,6,1002526,99.66893870
3230,鰭,魚,21,6,1002532,99.66953520
3231,巒,山,22,6,1002538,99.67013171
3232,躪,足,27,6,1002544,99.67072822
3233,啥,口,11,6,1002550,99.67132472
3234,蜍,虫,13,6,1002556,99.67192123
3235,嬅,女,15,6,1002562,99.67251774
3236,醚,酉,17,6,1002568,99.67311424
3237,(恒),心,09,6,1002574,99.67371075
3238,刃,刀,03,5,1002579,99.67420784
3239,朴,木,06,5,1002584,99.67470493
3240,佣,人,07,5,1002589,99.67520202
3241,岔,山,07,5,1002594,99.67569911
3242,沌,水,07,5,1002599,99.67619620
3243,禿,禾,07,5,1002604,99.67669328
3244,芋,艸,07,5,1002609,99.67719037
3245,佰,人,08,5,1002614,99.67768746
3246,咋,口,08,5,1002619,99.67818455
3247,弧,弓,08,5,1002624,99.67868164
3248,怯,心,08,5,1002629,99.67917873
3249,拂,手,08,5,1002634,99.67967582
3250,杭,木,08,5,1002639,99.68017291
3251,狐,犬,08,5,1002644,99.68067000
3252,軋,車,08,5,1002649,99.68116709
3253,剌,刀,09,5,1002654,99.68166417
3254,咸,口,09,5,1002659,99.68216126
3255,囿,囗,09,5,1002664,99.68265835
3256,盅,皿,09,5,1002669,99.68315544
3257,茁,艸,09,5,1002674,99.68365253
3258,堉,土,10,5,1002679,99.68414962
3259,屑,尸,10,5,1002684,99.68464671
3260,恣,心,10,5,1002689,99.68514380
3261,玆,玄,10,5,1002694,99.68564089
3262,琉,玉,10,5,1002699,99.68613798
3263,眩,目,10,5,1002704,99.68663507
3264,紊,糸,10,5,1002709,99.68713215
3265,荊,艸,10,5,1002714,99.68762924
3266,訖,言,10,5,1002719,99.68812633
3267,啞,口,11,5,1002724,99.68862342
3268,埠,土,11,5,1002729,99.68912051
3269,屜,尸,11,5,1002734,99.68961760
3270,帷,巾,11,5,1002739,99.69011469
3271,徙,彳,11,5,1002744,99.69061178
3272,恿,心,11,5,1002749,99.69110887
3273,敝,??,11,5,1002754,99.69160596
3274,晝,日,11,5,1002759,99.69210304
3275,涎,水,11,5,1002764,99.69260013
3276,淒,水,11,5,1002769,99.69309722
3277,淆,水,11,5,1002774,99.69359431
3278,絆,糸,11,5,1002779,99.69409140
3279,脣,肉,11,5,1002784,99.69458849
3280,舵,舟,11,5,1002789,99.69508558
3281,莓,艸,11,5,1002794,99.69558267
3282,逍,??,11,5,1002799,99.69607976
3283,啻,口,12,5,1002804,99.69657685
3284,愕,心,12,5,1002809,99.69707394
3285,揀,手,12,5,1002814,99.69757102
3286,揍,手,12,5,1002819,99.69806811
3287,揣,手,12,5,1002824,99.69856520
3288,摒,手,12,5,1002829,99.69906229
3289,湍,水,12,5,1002834,99.69955938
3290,渺,水,12,5,1002839,99.70005647
3291,琢,玉,12,5,1002844,99.70055356
3292,筏,竹,12,5,1002849,99.70105065
3293,萌,艸,12,5,1002854,99.70154774
3294,鈍,金,12,5,1002859,99.70204483
3295,馮,馬,12,5,1002864,99.70254191
3296,嗤,口,13,5,1002869,99.70303900
3297,嗆,口,13,5,1002874,99.70353609
3298,塌,土,13,5,1002879,99.70403318
3299,睬,目,13,5,1002884,99.70453027
3300,祺,示,13,5,1002889,99.70502736
3301,蛻,虫,13,5,1002894,99.70552445
3302,跤,足,13,5,1002899,99.70602154
3303,遐,??,13,5,1002904,99.70651863
3304,隘,阜,13,5,1002909,99.70701572
3305,雍,隹,13,5,1002914,99.70751281
3306,靴,革,13,5,1002919,99.70800989
3307,匱,匚,14,5,1002924,99.70850698
3308,嫖,女,14,5,1002929,99.70900407
3309,嶇,山,14,5,1002934,99.70950116
3310,漪,水,14,5,1002939,99.70999825
3311,滌,水,14,5,1002944,99.71049534
3312,熙,火,14,5,1002949,99.71099243
3313,睿,目,14,5,1002954,99.71148952
3314,綽,糸,14,5,1002959,99.71198661
3315,舔,舌,14,5,1002964,99.71248370
3316,蜥,虫,14,5,1002969,99.71298078
3317,鉻,金,14,5,1002974,99.71347787
3318,餃,食,14,5,1002979,99.71397496
3319,僻,人,15,5,1002984,99.71447205
3320,劈,刀,15,5,1002989,99.71496914
3321,嘶,口,15,5,1002994,99.71546623
3322,幟,巾,15,5,1002999,99.71596332
3323,慫,心,15,5,1003004,99.71646041
3324,憫,心,15,5,1003009,99.71695750
3325,撩,手,15,5,1003014,99.71745459
3326,瞎,目,15,5,1003019,99.71795167
3327,緬,糸,15,5,1003024,99.71844876
3328,膛,肉,15,5,1003029,99.71894585
3329,蝠,虫,15,5,1003034,99.71944294
3330,蝙,虫,15,5,1003039,99.71994003
3331,餒,食,15,5,1003044,99.72043712
3332,冀,八,16,5,1003049,99.72093421
3333,噩,口,16,5,1003054,99.72143130
3334,噱,口,16,5,1003059,99.72192839
3335,樺,木,16,5,1003064,99.72242548
3336,篤,竹,16,5,1003069,99.72292257
3337,褫,衣,16,5,1003074,99.72341965
3338,諳,言,16,5,1003079,99.72391674
3339,蹄,足,16,5,1003084,99.72441383
3340,輻,車,16,5,1003089,99.72491092
3341,隧,阜,16,5,1003094,99.72540801
3342,徽,彳,17,5,1003099,99.72590510
3343,檜,木,17,5,1003104,99.72640219
3344,璨,玉,17,5,1003109,99.72689928
3345,豁,谷,17,5,1003114,99.72739637
3346,輾,車,17,5,1003119,99.72789346
3347,醣,酉,17,5,1003124,99.72839054
3348,鍛,金,17,5,1003129,99.72888763
3349,騁,馬,17,5,1003134,99.72938472
3350,戳,戈,18,5,1003139,99.72988181
3351,燼,火,18,5,1003144,99.73037890
3352,獷,犬,18,5,1003149,99.73087599
3353,璧,玉,18,5,1003154,99.73137308
3354,癖,??,18,5,1003159,99.73187017
3355,簧,竹,18,5,1003164,99.73236726
3356,鎢,金,18,5,1003169,99.73286435
3357,闕,門,18,5,1003174,99.73336144
3358,雛,隹,18,5,1003179,99.73385852
3359,瀛,水,19,5,1003184,99.73435561
3360,矇,目,19,5,1003189,99.73485270
3361,蠍,虫,19,5,1003194,99.73534979
3362,蟹,虫,19,5,1003199,99.73584688
3363,譁,言,19,5,1003204,99.73634397
3364,鏗,金,19,5,1003209,99.73684106
3365,壤,土,20,5,1003214,99.73733815
3366,朧,月,20,5,1003219,99.73783524
3367,藹,艸,20,5,1003224,99.73833233
3368,蠢,虫,21,5,1003229,99.73882941
3369,譴,言,21,5,1003234,99.73932650
3370,饗,食,21,5,1003239,99.73982359
3371,霾,雨,22,5,1003244,99.74032068
3372,壩,土,24,5,1003249,99.74081777
3373,釁,酉,25,5,1003254,99.74131486
3374,顱,頁,25,5,1003259,99.74181195
3375,挹,手,10,5,1003264,99.74230904
3376,鈀,金,12,5,1003269,99.74280613
3377,謔,言,16,5,1003274,99.74330322
