八、九十年代台灣字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
小	63		3	1674	0.2545%	259029	34.17%	270	84.38%
那	36		6	2240	0.3405%	261269	26.32%	269	84.06%
看	88		9	1310	0.1991%	262579	39.59%	269	84.06%
用	95		5	1242	0.1888%	263821	40.95%	269	84.06%
正	137		5	945	0.1437%	264766	47.85%	269	84.06%
三	89		3	1309	0.199%	266075	39.79%	268	83.75%
還	120		16	1044	0.1587%	267119	45.30%	268	83.75%
道	119		12	1049	0.1595%	268168	45.14%	267	83.44%
再	163		6	810	0.1231%	268978	51.33%	267	83.44%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
理	104		11	1185	0.1801%	270163	42.61%	266	83.13%
長	100		8	1217	0.185%	271380	41.88%	265	82.81%
國	11		11	3927	0.597%	275307	15.09%	264	82.50%
知	141		8	929	0.1412%	276236	48.42%	264	82.50%
高	124		10	1006	0.1529%	277242	45.92%	263	82.19%
明	144		8	918	0.1396%	278160	48.84%	263	82.19%
又	127		2	994	0.1511%	279154	46.38%	262	81.88%
進	130		11	987	0.150%	280141	46.83%	262	81.88%
相	140		9	930	0.1414%	281071	48.28%	262	81.88%
更	142		7	923	0.1403%	281994	48.56%	262	81.88%
兩	151		8	879	0.1336%	282873	49.79%	261	81.56%
麼	90		14	1304	0.1982%	284177	39.99%	260	81.25%
本	99		5	1219	0.1853%	285396	41.70%	260	81.25%
沒	107		7	1167	0.1774%	286563	43.14%	259	80.94%
卻	158		9	844	0.1283%	287407	50.70%	259	80.94%
法	91		8	1300	0.1976%	288707	40.19%	257	80.31%
定	118		8	1051	0.1598%	289758	44.98%	257	80.31%
樣	123		15	1012	0.1538%	290770	45.77%	257	80.31%
使	134		8	966	0.1469%	291736	47.42%	256	80.00%
者	86		8	1345	0.2045%	293081	39.19%	255	79.69%
力	113		2	1108	0.1684%	294189	44.17%	255	79.69%
