單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
語	376		14	380	0.05777%	456979	69.47%	144	45.00%
基	377		11	379	0.05762%	457358	69.53%	153	47.81%
甚	378		9	379	0.05762%	457737	69.58%	186	58.13%
讀	379		22	379	0.05762%	458116	69.64%	120	37.50%
輕	380		14	379	0.05762%	458495	69.70%	164	51.25%
存	381		6	378	0.05746%	458873	69.76%	154	48.13%
若	382		9	376	0.05716%	459249	69.81%	139	43.44%
男	383		7	372	0.05655%	459621	69.87%	101	31.56%
絕	384		12	372	0.05655%	459993	69.93%	172	53.75%
故	385		9	371	0.0564%	460364	69.98%	147	45.94%
示	386		5	371	0.0564%	460735	70.04%	148	46.25%
區	387		11	370	0.05625%	461105	70.10%	121	37.81%
歲	388		13	370	0.05625%	461475	70.15%	134	41.88%
管	389		14	369	0.05609%	461844	70.21%	151	47.19%
設	390		11	369	0.05609%	462213	70.27%	123	38.44%
極	391		13	368	0.05594%	462581	70.32%	183	57.19%
保	392		9	367	0.05579%	462948	70.38%	145	45.31%
眾	393		11	367	0.05579%	463315	70.43%	150	46.88%
似	394		7	366	0.05564%	463681	70.49%	174	54.38%
調	395		15	366	0.05564%	464047	70.54%	160	50.00%
始	396		8	365	0.05549%	464412	70.60%	182	56.88%
離	397		18	365	0.05549%	464777	70.65%	163	50.94%
告	398		7	364	0.05533%	465141	70.71%	160	50.00%
邊	399		18	364	0.05533%	465505	70.77%	146	45.63%
類	400		19	364	0.05533%	465869	70.82%	161	50.31%
條	401		11	363	0.05518%	466232	70.88%	157	49.06%
具	402		8	362	0.05503%	466594	70.93%	153	47.81%
友	403		4	362	0.05503%	466956	70.99%	136	42.50%
係	404		9	359	0.05457%	467315	71.04%	135	42.19%
林	405		8	359	0.05457%	467674	71.10%	117	36.56%
仍	406		4	358	0.05442%	468032	71.15%	172	53.75%
令	407		5	358	0.05442%	468390	71.20%	171	53.44%
境	408		14	356	0.05412%	468746	71.26%	164	51.25%
府	409		8	356	0.05412%	469102	71.31%	115	35.94%
除	410		9	354	0.05381%	469456	71.37%	176	55.00%
爭	411		8	353	0.05366%	469809	71.42%	145	45.31%
裡	412		12	352	0.05351%	470161	71.47%	86	26.88%
需	413		14	352	0.05351%	470513	71.53%	152	47.50%
快	414		7	349	0.05305%	470862	71.58%	162	50.63%
精	415		14	346	0.0526%	471208	71.63%	162	50.63%
