六十年代大陸字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
所	112		8	1178	0.1779%	260734	45.03%	223	68.20%
間	168		12	874	0.132%	261608	53.43%	223	68.20%
子	32		3	2420	0.3655%	264028	25.42%	218	66.67%
日	105		4	1245	0.188%	265273	43.75%	218	66.67%
並	233		8	622	0.09394%	265895	60.56%	216	66.06%
又	109		2	1214	0.1833%	267109	44.49%	215	65.75%
事	114		8	1167	0.1762%	268276	45.39%	215	65.75%
無	93		12	1333	0.2013%	269609	41.42%	213	65.14%
定	143		8	954	0.1441%	270563	50.01%	213	65.14%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
產	36		11	2347	0.3545%	272910	26.85%	212	64.83%
義	42		13	2107	0.3182%	275017	28.83%	211	64.53%
著	26		12	2809	0.4242%	277826	23.09%	210	64.22%
其	190		8	757	0.1143%	278583	56.11%	210	64.22%
本	94		5	1324	0.200%	279907	41.62%	209	63.91%
意	150		13	930	0.1405%	280837	51.01%	209	63.91%
向	185		6	788	0.119%	281625	55.53%	209	63.91%
樣	85		15	1428	0.2157%	283053	39.78%	208	63.61%
道	117		12	1155	0.1744%	284208	45.91%	208	63.61%
實	100		14	1281	0.1935%	285489	42.80%	207	63.30%
次	201		6	716	0.1081%	286205	57.34%	206	63.00%
由	202		5	715	0.108%	286920	57.45%	206	63.00%
很	162		9	882	0.1332%	287802	52.63%	205	62.69%
各	171		6	842	0.1272%	288644	53.81%	205	62.69%
比	180		4	806	0.1217%	289450	54.93%	205	62.69%
然	96		12	1314	0.1984%	290764	42.02%	204	62.39%
理	98		11	1306	0.1972%	292070	42.41%	203	62.08%
反	110		4	1213	0.1832%	293283	44.68%	203	62.08%
表	149		8	936	0.1414%	294219	50.86%	203	62.08%
情	154		11	910	0.1374%	295129	51.56%	203	62.08%
它	111		5	1180	0.1782%	296309	44.85%	202	61.77%
心	129		4	1053	0.159%	297362	47.89%	202	61.77%
利	152		7	919	0.1388%	298281	51.28%	202	61.77%
百	174		6	836	0.1263%	299117	54.19%	202	61.77%
立	222		5	647	0.09771%	299764	59.51%	202	61.77%
外	197		5	732	0.1106%	300496	56.90%	201	61.47%
今	257		4	574	0.08669%	301070	62.73%	201	61.47%
但	156		7	892	0.1347%	301962	51.83%	200	61.16%
提	198		12	732	0.1106%	302694	57.01%	200	61.16%
小	82		3	1439	0.2173%	304133	39.13%	199	60.86%
東	165		8	879	0.1328%	305012	53.03%	199	60.86%
那	59		6	1693	0.2557%	306705	33.66%	198	60.55%
四	160		5	883	0.1334%	307588	52.37%	198	60.55%
結	172		12	839	0.1267%	308427	53.94%	198	60.55%
明	176		8	822	0.1241%	309249	54.44%	198	60.55%
已	196		3	740	0.1118%	309989	56.79%	198	60.55%
沒	126		7	1065	0.1608%	311054	47.41%	197	60.24%
裏	46		13	2003	0.3025%	313057	30.07%	196	59.94%
點	148		17	943	0.1424%	314000	50.72%	196	59.94%
合	187		6	769	0.1161%	314769	55.76%	196	59.94%
關	210		19	694	0.1048%	315463	58.29%	196	59.94%
量	141		12	983	0.1485%	316446	49.72%	194	59.33%
學	38		16	2236	0.3377%	318682	27.52%	192	58.72%
如	155		6	909	0.1373%	319591	51.70%	191	58.41%
爭	118		8	1148	0.1734%	320739	46.08%	190	58.10%
只	167		5	874	0.132%	321613	53.30%	190	58.10%
活	170		9	850	0.1284%	322463	53.69%	190	58.10%
代	123		5	1093	0.1651%	323556	46.92%	189	57.80%
解	183		13	792	0.1196%	324348	55.29%	189	57.80%
放	205		8	709	0.1071%	325057	57.77%	189	57.80%
特	243		10	601	0.09077%	325658	61.48%	189	57.80%
公	166		4	877	0.1325%	326535	53.16%	188	57.49%
想	63		13	1657	0.2503%	328192	34.67%	187	57.19%
化	139		4	990	0.1495%	329182	49.42%	187	57.19%
內	199		4	727	0.1098%	329909	57.12%	186	56.88%
果	232		8	629	0.095%	330538	60.47%	186	56.88%
手	130		4	1045	0.1578%	331583	48.05%	185	56.57%
因	203		6	710	0.1072%	332293	57.55%	185	56.57%
西	164		6	880	0.1329%	333173	52.90%	184	56.27%
總	240		17	608	0.09182%	333781	61.21%	184	56.27%
許	322		11	453	0.06842%	334234	67.76%	184	56.27%
法	133		8	1015	0.1533%	335249	48.51%	183	55.96%
萬	189		13	759	0.1146%	336008	55.99%	183	55.96%
給	247		12	593	0.08956%	336601	61.84%	183	55.96%
度	161		9	883	0.1334%	337484	52.50%	182	55.66%
月	194		4	753	0.1137%	338237	56.56%	182	55.66%
更	214		7	685	0.1035%	338922	58.71%	182	55.66%
平	221		5	651	0.09832%	339573	59.41%	182	55.66%
取	289		8	517	0.07808%	340090	65.38%	182	55.66%
接	327		11	448	0.06766%	340538	68.10%	182	55.66%
水	76		4	1535	0.2318%	342073	37.79%	181	55.35%
千	237		3	613	0.09258%	342686	60.94%	181	55.35%
通	256		10	576	0.08699%	343262	62.64%	181	55.35%
問	146		11	952	0.1438%	344214	50.44%	180	55.05%
員	175		10	822	0.1241%	345036	54.32%	180	55.05%
領	213		14	690	0.1042%	345726	58.61%	180	55.05%
常	261		11	568	0.08578%	346294	63.07%	180	55.05%
看	81		9	1453	0.2194%	347747	38.91%	179	54.74%
者	157		8	892	0.1347%	348639	51.97%	179	54.74%
六	207		4	699	0.1056%	349338	57.98%	179	54.74%
此	282		6	536	0.08095%	349874	64.82%	179	54.74%
命	51		8	1839	0.2777%	351713	31.53%	178	54.43%
少	235		4	614	0.09273%	352327	60.75%	178	54.43%
入	305		2	477	0.07204%	352804	66.57%	178	54.43%
別	236		7	613	0.09258%	353417	60.84%	177	54.13%
被	266		10	562	0.08488%	353979	63.50%	177	54.13%
展	177		10	816	0.1232%	354795	54.57%	176	53.82%
幾	181		12	799	0.1207%	355594	55.05%	176	53.82%
打	206		5	708	0.1069%	356302	57.87%	176	53.82%
指	234		9	617	0.09318%	356919	60.66%	176	53.82%
原	238		10	610	0.09213%	357529	61.03%	175	53.52%
應	285		17	526	0.07944%	358055	65.06%	175	53.52%
思	92		9	1335	0.2016%	359390	41.22%	174	53.21%
相	220		9	653	0.09862%	360043	59.31%	174	53.21%
共	263		6	565	0.08533%	360608	63.24%	174	53.21%
處	269		11	554	0.08367%	361162	63.75%	174	53.21%
第	226		11	642	0.09696%	361804	59.90%	173	52.91%
及	302		4	483	0.07295%	362287	66.35%	173	52.91%
近	345		7	436	0.06585%	362723	69.29%	173	52.91%
造	219		10	657	0.09922%	363380	59.21%	172	52.60%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
體	200		23	724	0.1093%	364104	57.23%	171	52.29%
條	244		11	598	0.09031%	364702	61.57%	171	52.29%
機	251		16	590	0.08911%	365292	62.20%	171	52.29%
麼	104		14	1255	0.1895%	366547	43.56%	170	51.99%
己	225		3	642	0.09696%	367189	59.80%	170	51.99%
完	329		7	447	0.06751%	367636	68.23%	170	51.99%
位	288		7	520	0.07853%	368156	65.30%	169	51.68%
步	315		7	461	0.06962%	368617	67.27%	169	51.68%
受	352		8	419	0.06328%	369036	69.74%	169	51.68%
鬥	116		10	1158	0.1749%	370194	45.74%	167	51.07%
頭	124		16	1090	0.1646%	371284	47.09%	167	51.07%
路	163		13	881	0.1331%	372165	52.77%	167	51.07%
社	89		7	1351	0.204%	373516	40.61%	166	50.76%
戰	151		16	924	0.1395%	374440	51.14%	166	50.76%
深	280		11	542	0.08186%	374982	64.66%	166	50.76%
直	341		8	438	0.06615%	375420	69.03%	166	50.76%
目	357		5	417	0.06298%	375837	70.06%	166	50.76%
先	366		6	402	0.06071%	376239	70.61%	166	50.76%
建	215		9	676	0.1021%	376915	58.81%	164	50.15%
八	284		2	532	0.08035%	377447	64.98%	164	50.15%
強	326		11	448	0.06766%	377895	68.03%	164	50.15%
氣	178		10	813	0.1228%	378708	54.69%	163	49.85%
運	229		12	634	0.09575%	379342	60.18%	163	49.85%
真	230		10	632	0.09545%	379974	60.28%	163	49.85%
馬	250		10	591	0.08926%	380565	62.11%	163	49.85%
才	260		3	571	0.08624%	381136	62.99%	162	49.54%
切	295		4	498	0.07521%	381634	65.83%	162	49.54%
群	140		13	985	0.1488%	382619	49.57%	161	49.24%
期	287		12	521	0.07868%	383140	65.22%	161	49.24%
難	362		19	406	0.06132%	383546	70.37%	161	49.24%
根	294		10	500	0.07551%	384046	65.76%	160	48.93%
性	191		8	757	0.1143%	384803	56.22%	159	48.62%
九	192		2	756	0.1142%	385559	56.34%	159	48.62%
風	211		9	692	0.1045%	386251	58.40%	159	48.62%
界	241		9	606	0.09152%	386857	61.30%	159	48.62%
候	245		10	596	0.09001%	387453	61.66%	159	48.62%
廣	308		15	472	0.07128%	387925	66.78%	159	48.62%
據	328		16	448	0.06766%	388373	68.17%	159	48.62%
且	403		5	373	0.05633%	388746	72.78%	159	48.62%
見	204		7	710	0.1072%	389456	57.66%	158	48.32%
隊	136		11	1002	0.1513%	390458	48.97%	157	48.01%
走	159		7	888	0.1341%	391346	52.23%	157	48.01%
變	258		23	573	0.08654%	391919	62.81%	157	48.01%
場	270		12	551	0.08322%	392470	63.83%	157	48.01%
老	106		6	1233	0.1862%	393703	43.94%	156	47.71%
身	273		7	550	0.08306%	394253	64.08%	156	47.71%
將	353		11	419	0.06328%	394672	69.81%	156	47.71%
斷	379		18	393	0.05935%	395065	71.39%	156	47.71%
文	97		4	1313	0.1983%	396378	42.22%	154	47.09%
七	330		2	443	0.0669%	396821	68.30%	153	46.79%
美	120		9	1122	0.1695%	397943	46.43%	152	46.48%
政	121		9	1105	0.1669%	399048	46.59%	152	46.48%
像	158		14	889	0.1343%	399937	52.10%	152	46.48%
業	179		13	806	0.1217%	400743	54.81%	152	46.48%
統	223		11	647	0.09771%	401390	59.61%	152	46.48%
知	290		8	511	0.07717%	401901	65.45%	152	46.48%
清	300		11	487	0.07355%	402388	66.21%	152	46.48%
極	389		13	385	0.05815%	402773	71.98%	152	46.48%
光	217		6	661	0.09983%	403434	59.01%	151	46.18%
做	259		11	571	0.08624%	404005	62.90%	151	46.18%
舉	386		17	387	0.05845%	404392	71.81%	151	46.18%
導	228		16	634	0.09575%	405026	60.09%	150	45.87%
保	378		9	393	0.05935%	405419	71.33%	150	45.87%
名	262		6	566	0.08548%	405985	63.16%	149	45.57%
聯	283		17	534	0.08065%	406519	64.90%	149	45.57%
任	337		6	438	0.06615%	406957	68.77%	149	45.57%
數	338		15	438	0.06615%	407395	68.83%	149	45.57%
再	400		6	374	0.05648%	407769	72.61%	149	45.57%
