# 北京智源研究院“中文互联网语料库”（Chinese Corpora Internet, 简称CCI） 
# https://data.baai.ac.cn/details/BAAI-CCI
# https://huggingface.co/datasets/BAAI/CCI-Data/blob/main/urls/webtext.txt
# https://corpus.cybersac.cn/#/dataSetDetail?dataSetId=360
# 
# CCI语料库首期开放的数据（CCI v1.0.0）规模为 104GB（2700万文档，约400亿字符），2023年11月29日，CCI v1.0.0 发布。
# 数据集总体的时间跨度为 2001年1月至2023年11月。
# 
# cjk	char	count	freq

0	,	1439533671	0.03645084097415346
0	 	1108597785	0.02807111940442674
1	的	694180774	0.017577548556270455
0	、	613896422	0.015544645674997762
0	。	604618889	0.015309726626678077
0	""""	479867757	0.012150867778507636
0	"
"	444213321	0.011248051677126475
0	0	345058169	0.008737315908918096
0	2	310857599	0.007871313561484707
0	1	283940124	0.007189728531265048
1	一	241713543	0.006120497279561169
1	中	238926785	0.00604993298868155
1	人	236798204	0.0059960345845700945
1	业	223125236	0.005649817478118898
1	国	204621713	0.0051812845164230055
1	和	199275180	0.0050459034356799045
1	在	198459727	0.005025255118642451
1	发	194930502	0.004935890609962607
1	大	186702648	0.004727550781756844
1	年	175589564	0.00444615322518909
1	市	173449323	0.004391959574905683
1	工	168384882	0.004263721425821094
1	作	167225107	0.0042343544336190765
1	有	166888410	0.004225828833245347
1	为	166541374	0.004217041436115887
1	全	157933462	0.003999078051338966
1	会	155646755	0.003941175693866784
1	新	155197078	0.003929789294821774
1	行	151592047	0.003838505280883698
1	了	143507327	0.0036337897893482744
1	展	140685222	0.0035623304670415554
1	实	138838463	0.003515568157841921
1	是	138488767	0.0035067134060969046
1	区	137892994	0.0034916276687382165
1	公	136727184	0.003462107862586994
1	生	136171579	0.003448039230565781
1	要	135168216	0.0034226327910436382
1	建	134261097	0.003399663373183017
1	动	131599687	0.003332273054615733
0	3	131032182	0.003317903099314398
1	化	130502602	0.0033044934537104277
1	不	129658018	0.0032831075023474917
1	进	128438590	0.0032522300195884034
1	上	124382909	0.003149534968995943
1	产	119000387	0.0030132426005613855
1	地	118984757	0.0030128468288917794
1	成	115800769	0.0029322241643514007
0	5	112968185	0.0028604995003091854
1	理	112583255	0.002850752578442166
1	务	112336860	0.0028445135406601684
1	力	111214790	0.0028161012874730264
1	以	110970111	0.002809905701014448
1	民	109014985	0.002760399400226828
1	时	108618511	0.0027503601694568057
1	政	106891868	0.0027066393516113887
1	出	104851732	0.0026549804884671967
1	对	104494160	0.0026459263062890504
1	等	104466588	0.0026452281478453916
1	家	104399066	0.0026435184041041795
1	开	102684340	0.0026000993400007136
1	学	100684488	0.002549460519462946
1	日	99693649	0.0025243712037021694
1	合	98220116	0.002487059456061105
0	.	97957943	0.0024804208990594624
1	高	97073719	0.0024580312119970265
0	)	96853161	0.002452446400230871
1	部	96713215	0.0024489027878140633
0	(	96444269	0.0024420927297555918
1	设	96232246	0.002436724035148751
1	体	95742810	0.0024243308871714393
1	个	95672400	0.002422548015561908
0	:	95036031	0.0024064343353561737
1	用	94588611	0.0023951050864492508
1	能	93804239	0.0023752437802411664
1	主	93667802	0.0023717890202100684
1	方	93640500	0.0023710976985131015
1	关	92752730	0.002348618222177446
0	4	92000833	0.0023295792246686873
1	重	91477028	0.002316315809480071
1	法	91138726	0.0023077495684454504
1	现	90311548	0.0022868043593525828
1	保	89865123	0.002275500305123283
1	经	89618415	0.00226925334177938
0	8	89258506	0.002260139983760423
0	6	88847888	0.0022497426087488837
1	资	87689709	0.0022204160293162
1	提	87335825	0.0022114552320336074
0	9	86424350	0.002188375514659691
1	到	85775476	0.0021719451917969874
1	加	85116513	0.002155259402499565
1	来	84728269	0.0021454285658972236
1	项	81042021	0.0020520880332329542
1	同	80582125	0.0020404428759862995
1	月	80425514	0.0020364772843708997
1	目	79654965	0.0020169659942721545
1	定	79127057	0.0020035986858551054
1	通	78980817	0.0019998957012765254
0	7	78932038	0.0019986605543621475
1	文	76699408	0.0019421274959672084
1	分	76617798	0.0019400610259763854
1	机	76164908	0.0019285932696457423
1	制	76147802	0.0019281601237608873
1	平	74593738	0.0018888092277944831
1	党	74125581	0.0018769548914203415
1	员	73932421	0.0018720638321944212
1	面	73909526	0.001871484101396236
1	强	73781998	0.0018682549286846853
1	长	73430357	0.0018593509270422033
1	管	72766810	0.0018425490649787235
1	推	71022270	0.0017983750721127728
1	安	70859327	0.0017942491461268072
1	心	69984833	0.0017721058351581182
1	持	68642159	0.0017381076054257547
1	场	68488910	0.0017342271439673106
1	于	68440870	0.0017330107094818417
1	事	67888361	0.0017190204721560288
1	社	67561190	0.001710736082334101
1	多	67468602	0.001708391635287044
1	我	66901395	0.0016940292257283539
1	度	66468710	0.0016830730859418177
1	下	66454879	0.0016827228672622065
1	自	66382739	0.0016808961898312795
1	与	66356409	0.0016802294804224033
1	本	65486524	0.0016582028752518728
1	品	65424096	0.00165662211813158
1	司	65254937	0.0016523387950439974
1	者	64951068	0.0016446444417828607
1	企	63810400	0.00161576126335507
1	服	63448818	0.0016066055428279073
1	好	63231851	0.001601111659792754
1	过	63021910	0.0015957956840992927
1	入	62066691	0.00157160831247616
1	点	61923788	0.001567989825022434
1	代	61477161	0.0015566806558937577
1	省	61330696	0.0015529719740262674
1	金	60787530	0.0015392183134572768
1	量	60200529	0.0015243546944022216
1	前	59949541	0.0015179993559626104
1	情	59762186	0.001513255286790565
1	委	59620816	0.0015096756168652785
1	基	58749807	0.0014876205505714825
1	村	58564954	0.001482939835252115
0	;	58506088	0.0014814492725455865
1	规	58283039	0.001475801385460878
1	治	58253399	0.0014750508626018167
1	共	58190072	0.0014734473416471686
1	及	58186013	0.0014733445625552343
1	信	57694294	0.0014608936060864503
1	记	57681048	0.0014605582003580047
1	创	57285947	0.0014505537357109746
1	标	56849314	0.0014394976274950332
1	系	56701582	0.0014357568635606592
1	水	55872847	0.0014147722292285354
1	性	55865407	0.0014145838388752486
1	位	55362488	0.0014018492840251729
1	期	55311459	0.0014005571642216965
1	这	55131292	0.0013959951044393588
1	应	55057544	0.001394127710383689
1	各	54373418	0.00137680476161587
1	技	54100219	0.0013698870121363596
1	科	53482453	0.0013542443837776938
1	内	52706078	0.0013345855718781086
1	局	51861693	0.0013132046594506975
1	后	51681740	0.0013086480184231449
1	报	51393061	0.001301338295466635
1	活	51267393	0.0012981562203434058
1	程	51178371	0.0012959020689952497
1	电	50903392	0.0012889392476301412
1	元	50795921	0.0012862179439126588
1	三	50676799	0.001283201621914781
1	将	50549405	0.001279975842255292
1	小	49995328	0.0012659459011560984
1	组	49936880	0.0012644659227463004
1	次	49773398	0.001260326348588235
1	交	49426174	0.001251534191057375
1	任	48971940	0.0012400324029209766
1	可	48870000	0.001237451151225541
1	施	48836736	0.0012366088640331048
1	们	48813681	0.0012360250818294724
1	办	48798512	0.0012356409832718106
1	城	48789605	0.0012354154465948316
1	明	48358549	0.0012245005551800028
1	第	48294754	0.0012228851838644221
1	增	48109896	0.0012182043419386342
0	》	47872624	0.0012121963102309692
0	《	47865276	0.0012120102494358146
1	式	47850272	0.00121163032889002
1	数	47802548	0.0012104218959303086
1	就	47673651	0.0012071580583809017
1	导	47562321	0.0012043390398282941
1	表	47351840	0.0011990093906414493
1	农	46842493	0.0011861120705775393
1	题	46590515	0.0011797316640667248
1	联	46523174	0.0011780265034779243
1	网	46405360	0.001175043301719576
1	间	46113820	0.0011676611345694163
1	更	45977818	0.0011642173892968774
1	立	45729602	0.0011579322414566361
1	质	45677313	0.0011566082168352645
1	领	45395944	0.0011494835924651156
1	总	45010468	0.001139722845177008
1	路	44874590	0.0011362822397436906
1	商	44593778	0.0011291717193287539
1	海	44575592	0.0011287112264571316
1	万	44346927	0.0011229211350412326
1	议	44140394	0.001117691454283793
1	教	44112387	0.0011169822810815754
1	计	43876621	0.0011110123832276807
1	道	43717572	0.0011069850583217819
1	其	43624658	0.0011046323565361267
1	相	43502117	0.0011015294610681027
